Universidad;Ámbito de estudio ISCED 1999;Total
Total Universidades;Total;156.099
Total Universidades;1 - Educación;19.086
Total Universidades;142 - Ciencias de la educación;4.124
Total Universidades;143 - Formación de docentes de enseñanza infantil;6.219
Total Universidades;144 - Formación de docentes de enseñanza primaria;4.287
Total Universidades;145 - Formación de docentes de enseñanza de temas especiales;2.276
Total Universidades;146 - Formación de docentes de formación profesional;2.180
Total Universidades;2 - Artes y humanidades;11.345
Total Universidades;211 - Bellas artes;292
Total Universidades;212 - Música y artes del espectáculo;103
Total Universidades;213 - Técnicas audiovisuales y medios de comunicación;5.110
Total Universidades;214 - Diseño;600
Total Universidades;220 - Humanidades;3.132
Total Universidades;222 - Lenguas extranjeras;940
Total Universidades;223 - Lenguas y dialectos españoles;787
Total Universidades;224 - Historia, filosofía y temas relacionados;25
Total Universidades;225 - Historia y arqueología;209
Total Universidades;226 - Filosofía y ética;147
Total Universidades;3 - Ciencias sociales, educación comercial y derecho;61.231
Total Universidades;300 - Ciencias sociales, educación comercial y derecho;17
Total Universidades;311 - Psicología;9.300
Total Universidades;312 - Sociología, antropología y geografía social y cultural;1.095
Total Universidades;313 - Ciencias políticas;673
Total Universidades;314 - Economía;574
Total Universidades;321 - Periodismo;3.482
Total Universidades;322 - Biblioteconomía, documentación y archivos;917
Total Universidades;342 - Marketing y publicidad;6.429
Total Universidades;343 - Finanzas, banca y seguros;34
Total Universidades;345 - Administración y gestión de empresas;25.500
Total Universidades;346 - Secretariado y trabajo administrativo;84
Total Universidades;380 - Derecho;13.126
Total Universidades;4 - Ciencias;10.200
Total Universidades;421 - Biología y Bioquímica;544
Total Universidades;422 - Ciencias del medio ambiente;417
Total Universidades;442 - Química;100
Total Universidades;443 - Geología y meteorología;131
Total Universidades;462 - Estadística;40
Total Universidades;480 - Informática;19
Total Universidades;481 - Ciencias de la computación;8.949
Total Universidades;5 - Ingeniería, industria y construcción;23.410
Total Universidades;520 - Ingeniería y profesiones afines;3.300
Total Universidades;521 - Mecánica y metalurgia;856
Total Universidades;522 - Electricidad y energía;74
Total Universidades;523 - Electrónica y automática;3.950
Total Universidades;524 - Procesos químicos;593
Total Universidades;541 - Industria de la alimentación;141
Total Universidades;581 - Arquitectura y urbanismo;12.372
Total Universidades;582 - Construcción e ingeniería civil;2.124
Total Universidades;6 - Agricultura y veterinaria;1.261
Total Universidades;621 - Producción agrícola y explotación ganadera;92
Total Universidades;622 - Horticultura;10
Total Universidades;623 - Silvicultura;78
Total Universidades;641 - Veterinaria;1.081
Total Universidades;7 - Salud y servicios sociales;23.084
Total Universidades;721 - Medicina;2.379
Total Universidades;723 - Enfermería y atención a enfermos;6.801
Total Universidades;724 - Estudios dentales;4.643
Total Universidades;725 - Tecnología de diagnóstico y tratamiento médico;451
Total Universidades;726 - Terapia y rehabilitación;5.747
Total Universidades;727 - Farmacia;2.332
Total Universidades;762 - Trabajo social y orientación;731
Total Universidades;8 - Servicios;6.482
Total Universidades;812 - Viajes, turismo y ocio;2.624
Total Universidades;813 - Deportes;3.837
Total Universidades;840 - Servicios de transporte;21
Universidades Privadas Presenciales;Total;110.411
Universidades Privadas Presenciales;1 - Educación;15.474
Universidades Privadas Presenciales;142 - Ciencias de la educación;1.480
Universidades Privadas Presenciales;143 - Formación de docentes de enseñanza infantil;5.713
Universidades Privadas Presenciales;144 - Formación de docentes de enseñanza primaria;3.825
Universidades Privadas Presenciales;145 - Formación de docentes de enseñanza de temas especiales;2.276
Universidades Privadas Presenciales;146 - Formación de docentes de formación profesional;2.180
Universidades Privadas Presenciales;2 - Artes y humanidades;5.975
Universidades Privadas Presenciales;211 - Bellas artes;292
Universidades Privadas Presenciales;212 - Música y artes del espectáculo;103
Universidades Privadas Presenciales;213 - Técnicas audiovisuales y medios de comunicación;3.122
Universidades Privadas Presenciales;214 - Diseño;600
Universidades Privadas Presenciales;220 - Humanidades;458
Universidades Privadas Presenciales;222 - Lenguas extranjeras;940
Universidades Privadas Presenciales;223 - Lenguas y dialectos españoles;110
Universidades Privadas Presenciales;224 - Historia, filosofía y temas relacionados;25
Universidades Privadas Presenciales;225 - Historia y arqueología;178
Universidades Privadas Presenciales;226 - Filosofía y ética;147
Universidades Privadas Presenciales;3 - Ciencias sociales, educación comercial y derecho;32.923
Universidades Privadas Presenciales;300 - Ciencias sociales, educación comercial y derecho;17
Universidades Privadas Presenciales;311 - Psicología;3.343
Universidades Privadas Presenciales;312 - Sociología, antropología y geografía social y cultural;397
Universidades Privadas Presenciales;313 - Ciencias políticas;188
Universidades Privadas Presenciales;314 - Economía;574
Universidades Privadas Presenciales;321 - Periodismo;3.383
Universidades Privadas Presenciales;322 - Biblioteconomía, documentación y archivos;51
Universidades Privadas Presenciales;342 - Marketing y publicidad;4.202
Universidades Privadas Presenciales;343 - Finanzas, banca y seguros;34
