Universidad;Ámbito de estudio ISCED 1999;Total
Total;Total;173.989
Total;1 - Educación;27.132
Total;142 - Ciencias de la educación;5.557
Total;143 - Formación de docentes de enseñanza infantil;8.320
Total;144 - Formación de docentes de enseñanza primaria;10.001
Total;145 - Formación de docentes de enseñanza de temas especiales;1.977
Total;146 - Formación de docentes de formación profesional;1.277
Total;2 - Artes y humanidades;13.843
Total;211 - Bellas artes;192
Total;212 - Música y artes del espectáculo;..
Total;213 - Técnicas audiovisuales y medios de comunicación;7.045
Total;214 - Diseño;1.715
Total;220 - Humanidades;2.498
Total;222 - Lenguas extranjeras;1.098
Total;223 - Lenguas y dialectos españoles;710
Total;224 - Historia, filosofía y temas relacionados;..
Total;225 - Historia y arqueología;258
Total;226 - Filosofia y ética;150
Total;3 - Ciencias sociales, educación comercial y derecho;64.896
Total;300 - Ciencias sociales, educación comercial y derecho;..
Total;311 - Psicología;10.120
Total;312 - Sociología, antropología y geografía social y cultural;2.243
Total;313 - Ciencias políticas;683
Total;314 - Economía;672
Total;321 - Periodismo;3.723
Total;322 - Biblioteconomía, documentación y archivos;763
Total;340 - Educación comercial y administración;..
Total;342 - Marketing y publicidad;6.481
Total;343 - Finanzas, banca y seguros;..
Total;345 - Administración y gestión de empresas;26.583
Total;346 - Secretariado y trabajo administrativo;173
Total;347 - Otros estudios referidos al puesto de trabajo;..
Total;380 - Derecho;13.247
Total;4 - Ciencias;8.943
Total;400 - Ciencias;..
Total;421 - Biología y Bioquímica;702
Total;422 - Ciencias del medio ambiente;359
Total;442 - Química;196
Total;443 - Geología y metereología;103
Total;462 - Estadística;..
Total;480 - Informática;187
Total;481 - Ciencias de la computación;7.343
Total;5 - Ingenieria, industria y construcción;21.045
Total;520 - Ingeniería y profesiones afines;2.781
Total;521 - Mecánica y metalurgia;1.377
Total;522 - Electricidad y energía;247
Total;523 - Electrónica y automática;3.814
Total;524 - Procesos químicos;727
Total;525 - Vehículos de motor, barcos y aeronaves;..
Total;541 - Industria de la alimentación;145
Total;581 - Arquitectura y urbanismo;9.276
Total;582 - Construcción e ingeniería civil;2.635
Total;6 - Agricultura y veterinaria;1.964
Total;621 - Producción agrícola y explotación ganadera;385
Total;622 - Horticultura;..
Total;623 - Silvicultura;408
Total;641 - Veterinaria;1.113
Total;7 - Salud y servicios sociales;28.137
