Universidad;Ámbito de estudio ISCED 1999;Total
Universidades Privadas Presenciales;Total Agricultura y veterinaria;1.690
Universidades Privadas Presenciales;621 - Producción agrícola y explotación ganadera;100
Universidades Privadas Presenciales;623 - Silvicultura;94
Universidades Privadas Presenciales;641 - Veterinaria;1.496
Universidades Privadas Presenciales;Total Salud y servicios sociales;24.024
Universidades Privadas Presenciales;721 - Medicina;1.901
Universidades Privadas Presenciales;723 - Enfermería y atención a enfermos;6.460
Universidades Privadas Presenciales;724 - Estudios dentales;4.398
Universidades Privadas Presenciales;725 - Tecnología de diagnóstico y tratamiento médico;428
Universidades Privadas Presenciales;726 - Terapia y rehabilitación;5.931
Universidades Privadas Presenciales;727 - Farmacia;2.466
Universidades Privadas Presenciales;762 - Trabajo social y orientación;750
Universidades Privadas Presenciales;Total Servicios;5.079
Universidades Privadas Presenciales;812 - Viajes, turismo y ocio;1.358
Universidades Privadas Presenciales;813 - Deportes;3.721
Abat Oliba CEU;Total Ámbito;1.711
Abat Oliba CEU;Total Educación;..
Abat Oliba CEU;142 - Ciencias de la educación;..
Abat Oliba CEU;143 - Formación de docentes de enseñanza infantil;..
Abat Oliba CEU;144 - Formación de docentes de enseñanza primaria;..
Abat Oliba CEU;145 - Formación de docentes de enseñanza de temas especiales;..
Abat Oliba CEU;146 - Formación de docentes de formación profesional;..
Abat Oliba CEU;Total Artes y humanidades;..
Abat Oliba CEU;211 - Bellas artes;..
Abat Oliba CEU;212 - Música y artes del espectáculo;..
Abat Oliba CEU;213 - Técnicas audiovisuales y medios de comunicación;..
Abat Oliba CEU;214 - Diseño;..
Abat Oliba CEU;220 - Humanidades;..
Abat Oliba CEU;222 - Lenguas extranjeras;..
Abat Oliba CEU;223 - Lenguas y dialectos españoles;..
Abat Oliba CEU;225 - Historia y arqueología;..
Abat Oliba CEU;226 - Filosofia y ética;..
Abat Oliba CEU;Total Ciencias sociales, educación comercial y derecho;1.711
Abat Oliba CEU;311 - Psicología;92
Abat Oliba CEU;312 - Sociología, antropología y geografía social y cultural;..
Abat Oliba CEU;313 - Ciencias políticas;70
