Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros propios;Ambos Sexos;12.684
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros propios;Mujeres;8.066
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros propios;Hombres;4.618
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros adscritos;Ambos Sexos;342
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros adscritos;Mujeres;245
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Total Centros;Ambos Sexos;11.820
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Total Centros;Mujeres;7.657
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Total Centros;Hombres;4.163
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros propios;Ambos Sexos;11.480
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros propios;Mujeres;7.413
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros propios;Hombres;4.067
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros adscritos;Ambos Sexos;340
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros adscritos;Mujeres;244
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Total Centros;Ambos Sexos;1.206
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Total Centros;Mujeres;654
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Total Centros;Hombres;552
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros propios;Ambos Sexos;1.204
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros propios;Mujeres;653
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros propios;Hombres;551
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Total Centros;Ambos Sexos;3.082
