Nivel y Ciclo;Rama de la enseñanza;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Total Centros;Ambos Sexos;1.416.827
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Total Centros;Mujeres;769.162
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Total Centros;Hombres;647.665
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros propios;Ambos Sexos;1.353.264
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros propios;Mujeres;731.718
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros propios;Hombres;621.546
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros adscritos;Ambos Sexos;63.563
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros adscritos;Mujeres;37.444
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros adscritos;Hombres;26.119
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Total Centros;Ambos Sexos;1.239.142
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Total Centros;Mujeres;671.070
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Total Centros;Hombres;568.072
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros propios;Ambos Sexos;1.179.941
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros propios;Mujeres;635.997
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros propios;Hombres;543.944
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros adscritos;Ambos Sexos;59.201
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros adscritos;Mujeres;35.073
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros adscritos;Hombres;24.128
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Total Centros;Ambos Sexos;177.685
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Total Centros;Mujeres;98.092
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Total Centros;Hombres;79.593
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros propios;Ambos Sexos;173.323
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros propios;Mujeres;95.721
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros propios;Hombres;77.602
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros adscritos;Ambos Sexos;4.362
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros adscritos;Mujeres;2.371
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros adscritos;Hombres;1.991
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Ambos Sexos;665.236
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Mujeres;403.940
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Hombres;261.296
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Ambos Sexos;630.972
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Mujeres;382.139
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Hombres;248.833
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Ambos Sexos;34.264
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Mujeres;21.801
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Hombres;12.463
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Ambos Sexos;565.094
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Mujeres;344.765
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Hombres;220.329
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Ambos Sexos;532.332
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Mujeres;323.732
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Hombres;208.600
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Ambos Sexos;32.762
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Mujeres;21.033
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Hombres;11.729
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Ambos Sexos;100.142
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Mujeres;59.175
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Hombres;40.967
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Ambos Sexos;98.640
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Mujeres;58.407
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Hombres;40.233
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros adscritos;Ambos Sexos;1.502
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros adscritos;Mujeres;768
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros adscritos;Hombres;734
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Total Centros;Ambos Sexos;302.826
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Total Centros;Mujeres;78.233
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Total Centros;Hombres;224.593
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros propios;Ambos Sexos;294.251
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros propios;Mujeres;76.484
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros propios;Hombres;217.767
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Ambos Sexos;8.575
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Mujeres;1.749
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Hombres;6.826
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Ambos Sexos;278.893
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Mujeres;72.420
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Hombres;206.473
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Ambos Sexos;270.426
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Mujeres;70.692
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Hombres;199.734
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros adscritos;Ambos Sexos;8.467
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros adscritos;Mujeres;1.728
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros adscritos;Hombres;6.739
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Total Centros;Ambos Sexos;23.933
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Total Centros;Mujeres;5.813
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Total Centros;Hombres;18.120
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Centros propios;Ambos Sexos;23.825
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Centros propios;Mujeres;5.792
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Centros propios;Hombres;18.033
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Centros adscritos;Ambos Sexos;108
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Total Centros;Ambos Sexos;135.315
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Total Centros;Mujeres;83.012
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Total Centros;Hombres;52.303
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Centros propios;Ambos Sexos;131.643
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Centros propios;Mujeres;80.807
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Centros propios;Hombres;50.836
