Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
TOTAL;TOTAL;Ambos Sexos;1.416.827
TOTAL;TOTAL;Mujeres;769.162
TOTAL;TOTAL;Hombres;647.665
TOTAL;España;Ambos Sexos;1.365.564
TOTAL;España;Mujeres;738.780
TOTAL;España;Hombres;626.784
TOTAL;Unión Europea (27);Ambos Sexos;22.155
TOTAL;Unión Europea (27);Mujeres;13.475
TOTAL;Unión Europea (27);Hombres;8.680
TOTAL;Resto de Europa;Ambos Sexos;4.595
TOTAL;Resto de Europa;Mujeres;2.943
TOTAL;Resto de Europa;Hombres;1.652
TOTAL;EE.UU. y Canadá;Ambos Sexos;448
TOTAL;EE.UU. y Canadá;Mujeres;267
TOTAL;EE.UU. y Canadá;Hombres;181
TOTAL;América Latina y Caribe;Ambos Sexos;13.427
TOTAL;América Latina y Caribe;Mujeres;8.055
TOTAL;América Latina y Caribe;Hombres;5.372
TOTAL;Norte de África;Ambos Sexos;4.427
TOTAL;Norte de África;Mujeres;2.336
TOTAL;Norte de África;Hombres;2.091
TOTAL;Resto de África;Ambos Sexos;1.414
TOTAL;Resto de África;Mujeres;601
TOTAL;Resto de África;Hombres;813
TOTAL;Asia y Oceanía;Ambos Sexos;4.797
TOTAL;Asia y Oceanía;Mujeres;2.705
TOTAL;Asia y Oceanía;Hombres;2.092
Total Universidades Presenciales;TOTAL;Ambos Sexos;1.211.119
Total Universidades Presenciales;TOTAL;Mujeres;654.093
Total Universidades Presenciales;TOTAL;Hombres;557.026
Total Universidades Presenciales;España;Ambos Sexos;1.165.474
Total Universidades Presenciales;España;Mujeres;627.577
Total Universidades Presenciales;España;Hombres;537.897
Total Universidades Presenciales;Unión Europea (27);Ambos Sexos;19.671
Total Universidades Presenciales;Unión Europea (27);Mujeres;11.657
Total Universidades Presenciales;Unión Europea (27);Hombres;8.014
Total Universidades Presenciales;Resto de Europa;Ambos Sexos;4.001
Total Universidades Presenciales;Resto de Europa;Mujeres;2.515
Total Universidades Presenciales;Resto de Europa;Hombres;1.486
Total Universidades Presenciales;EE.UU. y Canadá;Ambos Sexos;383
Total Universidades Presenciales;EE.UU. y Canadá;Mujeres;227
Total Universidades Presenciales;EE.UU. y Canadá;Hombres;156
Total Universidades Presenciales;América Latina y Caribe;Ambos Sexos;11.528
Total Universidades Presenciales;América Latina y Caribe;Mujeres;6.724
Total Universidades Presenciales;América Latina y Caribe;Hombres;4.804
Total Universidades Presenciales;Norte de África;Ambos Sexos;4.223
Total Universidades Presenciales;Norte de África;Mujeres;2.218
Total Universidades Presenciales;Norte de África;Hombres;2.005
Total Universidades Presenciales;Resto de África;Ambos Sexos;1.142
Total Universidades Presenciales;Resto de África;Mujeres;528
Total Universidades Presenciales;Resto de África;Hombres;614
Total Universidades Presenciales;Asia y Oceanía;Ambos Sexos;4.697
Total Universidades Presenciales;Asia y Oceanía;Mujeres;2.647
Total Universidades Presenciales;Asia y Oceanía;Hombres;2.050
Andalucía;TOTAL;Ambos Sexos;232.694
Andalucía;TOTAL;Mujeres;127.048
Andalucía;TOTAL;Hombres;105.646
Andalucía;España;Ambos Sexos;227.019
Andalucía;España;Mujeres;123.687
Andalucía;España;Hombres;103.332
Andalucía;Unión Europea (27);Ambos Sexos;1.852
Andalucía;Unión Europea (27);Mujeres;1.217
Andalucía;Unión Europea (27);Hombres;635
Andalucía;Resto de Europa;Ambos Sexos;436
Andalucía;Resto de Europa;Mujeres;294
Andalucía;Resto de Europa;Hombres;142
Andalucía;EE.UU. y Canadá;Ambos Sexos;..
Andalucía;EE.UU. y Canadá;Mujeres;..
Andalucía;EE.UU. y Canadá;Hombres;..
Andalucía;América Latina y Caribe;Ambos Sexos;829
Andalucía;América Latina y Caribe;Mujeres;499
Andalucía;América Latina y Caribe;Hombres;330
Andalucía;Norte de África;Ambos Sexos;1.742
Andalucía;Norte de África;Mujeres;872
Andalucía;Norte de África;Hombres;870
Andalucía;Resto de África;Ambos Sexos;140
Andalucía;Resto de África;Mujeres;..
Andalucía;Resto de África;Hombres;..
Andalucía;Asia y Oceanía;Ambos Sexos;594
Andalucía;Asia y Oceanía;Mujeres;355
