Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
Asturias (Principado de);Norte de África;Ambos Sexos;..
Asturias (Principado de);Norte de África;Mujeres;.
Asturias (Principado de);Norte de África;Hombres;.
Asturias (Principado de);Resto de África;Ambos Sexos;..
Asturias (Principado de);Resto de África;Mujeres;..
Asturias (Principado de);Resto de África;Hombres;.
Asturias (Principado de);Asia y Oceanía;Ambos Sexos;..
Asturias (Principado de);Asia y Oceanía;Mujeres;..
Asturias (Principado de);Asia y Oceanía;Hombres;.
Balears (Illes);TOTAL;Ambos Sexos;13.605
Balears (Illes);TOTAL;Mujeres;8.025
Balears (Illes);TOTAL;Hombres;5.580
Balears (Illes);España;Ambos Sexos;12.962
Balears (Illes);España;Mujeres;7.630
Balears (Illes);España;Hombres;5.332
Balears (Illes);Unión Europea (27);Ambos Sexos;282
Balears (Illes);Unión Europea (27);Mujeres;174
Balears (Illes);Unión Europea (27);Hombres;108
Balears (Illes);Resto de Europa;Ambos Sexos;..
Balears (Illes);Resto de Europa;Mujeres;..
Balears (Illes);Resto de Europa;Hombres;..
Balears (Illes);EE.UU. y Canadá;Ambos Sexos;.
Balears (Illes);EE.UU. y Canadá;Mujeres;.
Balears (Illes);EE.UU. y Canadá;Hombres;.
Balears (Illes);América Latina y Caribe;Ambos Sexos;248
Balears (Illes);América Latina y Caribe;Mujeres;158
Balears (Illes);América Latina y Caribe;Hombres;..
Balears (Illes);Norte de África;Ambos Sexos;..
Balears (Illes);Norte de África;Mujeres;..
Balears (Illes);Norte de África;Hombres;..
Balears (Illes);Resto de África;Ambos Sexos;..
Balears (Illes);Resto de África;Mujeres;.
Balears (Illes);Resto de África;Hombres;.
Balears (Illes);Asia y Oceanía;Ambos Sexos;..
Balears (Illes);Asia y Oceanía;Mujeres;.
Balears (Illes);Asia y Oceanía;Hombres;..
Canarias;TOTAL;Ambos Sexos;42.439
Canarias;TOTAL;Mujeres;24.324
Canarias;TOTAL;Hombres;18.115
Canarias;España;Ambos Sexos;40.802
Canarias;España;Mujeres;23.310
Canarias;España;Hombres;17.492
Canarias;Unión Europea (27);Ambos Sexos;546
Canarias;Unión Europea (27);Mujeres;338
Canarias;Unión Europea (27);Hombres;208
Canarias;Resto de Europa;Ambos Sexos;..
Canarias;Resto de Europa;Mujeres;..
Canarias;Resto de Europa;Hombres;..
Canarias;EE.UU. y Canadá;Ambos Sexos;.
Canarias;EE.UU. y Canadá;Mujeres;.
Canarias;EE.UU. y Canadá;Hombres;.
Canarias;América Latina y Caribe;Ambos Sexos;697
Canarias;América Latina y Caribe;Mujeres;447
Canarias;América Latina y Caribe;Hombres;250
Canarias;Norte de África;Ambos Sexos;..
Canarias;Norte de África;Mujeres;..
Canarias;Norte de África;Hombres;..
Canarias;Resto de África;Ambos Sexos;148
Canarias;Resto de África;Mujeres;..
Canarias;Resto de África;Hombres;..
Canarias;Asia y Oceanía;Ambos Sexos;..
Canarias;Asia y Oceanía;Mujeres;..
Canarias;Asia y Oceanía;Hombres;..
Cantabria;TOTAL;Ambos Sexos;10.677
Cantabria;TOTAL;Mujeres;5.362
Cantabria;TOTAL;Hombres;5.315
