Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
TOTAL;TOTAL;Ambos Sexos;1.379.726
TOTAL;TOTAL;Mujeres;750.684
TOTAL;TOTAL;Hombres;629.042
TOTAL;España;Ambos Sexos;1.342.902
TOTAL;España;Mujeres;728.782
TOTAL;España;Hombres;614.120
TOTAL;Unión Europea (27);Ambos Sexos;13.026
TOTAL;Unión Europea (27);Mujeres;8.311
TOTAL;Unión Europea (27);Hombres;4.715
TOTAL;Resto de Europa;Ambos Sexos;3.082
TOTAL;Resto de Europa;Mujeres;1.967
TOTAL;Resto de Europa;Hombres;1.115
TOTAL;América del Norte;Ambos Sexos;1.170
TOTAL;América del Norte;Mujeres;587
TOTAL;América del Norte;Hombres;583
TOTAL;América Central;Ambos Sexos;1.198
TOTAL;América Central;Mujeres;762
TOTAL;América Central;Hombres;436
TOTAL;América del Sur;Ambos Sexos;11.251
TOTAL;América del Sur;Mujeres;6.790
TOTAL;América del Sur;Hombres;4.461
TOTAL;Norte de África;Ambos Sexos;4.521
TOTAL;Norte de África;Mujeres;2.181
TOTAL;Norte de África;Hombres;2.340
TOTAL;Resto de África;Ambos Sexos;1.070
TOTAL;Resto de África;Mujeres;497
TOTAL;Resto de África;Hombres;573
TOTAL;Asia y Oceanía;Ambos Sexos;1.506
TOTAL;Asia y Oceanía;Mujeres;807
TOTAL;Asia y Oceanía;Hombres;699
Total Universidades Presenciales;TOTAL;Ambos Sexos;1.188.794
Total Universidades Presenciales;TOTAL;Mujeres;651.995
Total Universidades Presenciales;TOTAL;Hombres;536.799
Total Universidades Presenciales;España;Ambos Sexos;1.156.601
Total Universidades Presenciales;España;Mujeres;633.063
Total Universidades Presenciales;España;Hombres;523.538
Total Universidades Presenciales;Unión Europea (27);Ambos Sexos;11.067
Total Universidades Presenciales;Unión Europea (27);Mujeres;6.976
Total Universidades Presenciales;Unión Europea (27);Hombres;4.091
Total Universidades Presenciales;Resto de Europa;Ambos Sexos;2.515
Total Universidades Presenciales;Resto de Europa;Mujeres;1.595
Total Universidades Presenciales;Resto de Europa;Hombres;920
Total Universidades Presenciales;América del Norte;Ambos Sexos;1.053
Total Universidades Presenciales;América del Norte;Mujeres;522
Total Universidades Presenciales;América del Norte;Hombres;531
Total Universidades Presenciales;América Central;Ambos Sexos;1.043
Total Universidades Presenciales;América Central;Mujeres;656
Total Universidades Presenciales;América Central;Hombres;387
Total Universidades Presenciales;América del Sur;Ambos Sexos;9.852
