Nivel y Ciclo;Grupo de edad;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Centros adscritos;Mujeres;163
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Centros adscritos;Hombres;138
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Total Centros;Ambos Sexos;403.182
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Total Centros;Mujeres;216.977
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Total Centros;Hombres;186.205
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Centros propios;Ambos Sexos;386.363
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Centros propios;Mujeres;206.754
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Centros propios;Hombres;179.609
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Centros adscritos;Ambos Sexos;16.819
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Centros adscritos;Mujeres;10.223
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Centros adscritos;Hombres;6.596
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Total Centros;Ambos Sexos;364.700
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Total Centros;Mujeres;197.008
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Total Centros;Hombres;167.692
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Centros propios;Ambos Sexos;347.924
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Centros propios;Mujeres;186.800
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Centros propios;Hombres;161.124
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Centros adscritos;Ambos Sexos;16.776
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Centros adscritos;Mujeres;10.208
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Centros adscritos;Hombres;6.568
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades privadas;Total Centros;Ambos Sexos;38.482
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades privadas;Total Centros;Mujeres;19.969
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades privadas;Total Centros;Hombres;18.513
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades privadas;Centros propios;Ambos Sexos;38.439
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades privadas;Centros propios;Mujeres;19.954
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades privadas;Centros propios;Hombres;18.485
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades privadas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades privadas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades privadas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Total Universidades;Total Centros;Ambos Sexos;200.034
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Total Universidades;Total Centros;Mujeres;99.714
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Total Universidades;Total Centros;Hombres;100.320
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Total Universidades;Centros propios;Ambos Sexos;192.556
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Total Universidades;Centros propios;Mujeres;95.114
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Total Universidades;Centros propios;Hombres;97.442
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Total Universidades;Centros adscritos;Ambos Sexos;7.478
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Total Universidades;Centros adscritos;Mujeres;4.600
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Total Universidades;Centros adscritos;Hombres;2.878
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades públicas;Total Centros;Ambos Sexos;177.748
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades públicas;Total Centros;Mujeres;88.350
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades públicas;Total Centros;Hombres;89.398
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades públicas;Centros propios;Ambos Sexos;170.292
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades públicas;Centros propios;Mujeres;83.759
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades públicas;Centros propios;Hombres;86.533
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades públicas;Centros adscritos;Ambos Sexos;7.456
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades públicas;Centros adscritos;Mujeres;4.591
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades públicas;Centros adscritos;Hombres;2.865
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Total Centros;Ambos Sexos;22.286
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Total Centros;Mujeres;11.364
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Total Centros;Hombres;10.922
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Centros propios;Ambos Sexos;22.264
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Centros propios;Mujeres;11.355
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Centros propios;Hombres;10.909
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;De 26 a 30 años;Universidades privadas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Total Centros;Ambos Sexos;239.582
