Sexo;Universidad;Ámbito de estudio ISCED 1999;Total
Ambos Sexos;Total Universidades Privadas Presenciales;145 - Formación de docentes de enseñanza de temas especiales;14
Ambos Sexos;Total Universidades Privadas Presenciales;146 - Formación de docentes de formación profesional;48
Ambos Sexos;Total Universidades Privadas Presenciales;Total Artes y humanidades;7.755
Ambos Sexos;Total Universidades Privadas Presenciales;211 - Bellas artes;160
Ambos Sexos;Total Universidades Privadas Presenciales;212 - Música y artes del espectáculo;115
Ambos Sexos;Total Universidades Privadas Presenciales;213 - Técnicas audiovisuales y medios de comunicación;3.703
Ambos Sexos;Total Universidades Privadas Presenciales;214 - Diseño;1.760
Ambos Sexos;Total Universidades Privadas Presenciales;220 - Humanidades;259
Ambos Sexos;Total Universidades Privadas Presenciales;221 - Religión;269
Ambos Sexos;Total Universidades Privadas Presenciales;222 - Lenguas extranjeras;999
Ambos Sexos;Total Universidades Privadas Presenciales;223 - Lenguas y dialectos españoles;134
Ambos Sexos;Total Universidades Privadas Presenciales;225 - Historia y arqueología;167
Ambos Sexos;Total Universidades Privadas Presenciales;226 - Filosofía y ética;189
Ambos Sexos;Total Universidades Privadas Presenciales;Total Ciencias sociales, educación comercial y derecho;37.564
Ambos Sexos;Total Universidades Privadas Presenciales;311 - Psicología;4.450
Ambos Sexos;Total Universidades Privadas Presenciales;312 - Sociología, antropología y geografía social y cultural;846
Ambos Sexos;Total Universidades Privadas Presenciales;313 - Ciencias políticas;979
Ambos Sexos;Total Universidades Privadas Presenciales;314 - Economía;577
Ambos Sexos;Total Universidades Privadas Presenciales;320 - Periodismo e información;566
Ambos Sexos;Total Universidades Privadas Presenciales;321 - Periodismo;2.911
Ambos Sexos;Total Universidades Privadas Presenciales;322 - Biblioteconomía, documentación y archivos;..
Ambos Sexos;Total Universidades Privadas Presenciales;342 - Marketing y publicidad;3.631
Ambos Sexos;Total Universidades Privadas Presenciales;343 - Finanzas, banca y seguros;53
Ambos Sexos;Total Universidades Privadas Presenciales;345 - Administración y gestión de empresas;15.320
Ambos Sexos;Total Universidades Privadas Presenciales;380 - Derecho;8.231
Ambos Sexos;Total Universidades Privadas Presenciales;Total Ciencias;3.169
Ambos Sexos;Total Universidades Privadas Presenciales;421 - Biología y Bioquímica;618
Ambos Sexos;Total Universidades Privadas Presenciales;422 - Ciencias del medio ambiente;136
Ambos Sexos;Total Universidades Privadas Presenciales;442 - Química;230
Ambos Sexos;Total Universidades Privadas Presenciales;443 - Geología y meteorología;129
Ambos Sexos;Total Universidades Privadas Presenciales;462 - Estadística;2
Ambos Sexos;Total Universidades Privadas Presenciales;481 - Ciencias de la computación;2.054
Ambos Sexos;Total Universidades Privadas Presenciales;Total Ingeniería, industria y construcción;14.032
Ambos Sexos;Total Universidades Privadas Presenciales;520 - Ingeniería y profesiones afines;2.690
Ambos Sexos;Total Universidades Privadas Presenciales;521 - Mecánica y metalurgia;2.156
Ambos Sexos;Total Universidades Privadas Presenciales;522 - Electricidad y energía;222
Ambos Sexos;Total Universidades Privadas Presenciales;523 - Electrónica y automática;1.551
Ambos Sexos;Total Universidades Privadas Presenciales;524 - Procesos químicos;947
Ambos Sexos;Total Universidades Privadas Presenciales;525 - Vehículos de motor, barcos y aeronaves;245
Ambos Sexos;Total Universidades Privadas Presenciales;541 - Industria de la alimentación;137
Ambos Sexos;Total Universidades Privadas Presenciales;544 - Minería y extracción;10
Ambos Sexos;Total Universidades Privadas Presenciales;581 - Arquitectura y urbanismo;5.128
Ambos Sexos;Total Universidades Privadas Presenciales;582 - Construcción e ingeniería civil;946
Ambos Sexos;Total Universidades Privadas Presenciales;Total Agricultura y veterinaria;2.605
Ambos Sexos;Total Universidades Privadas Presenciales;621 - Producción agrícola y explotación ganadera;286
Ambos Sexos;Total Universidades Privadas Presenciales;623 - Silvicultura;249
Ambos Sexos;Total Universidades Privadas Presenciales;641 - Veterinaria;2.070
Ambos Sexos;Total Universidades Privadas Presenciales;Total Salud y servicios sociales;33.210
Ambos Sexos;Total Universidades Privadas Presenciales;720 - Salud;272
Ambos Sexos;Total Universidades Privadas Presenciales;721 - Medicina;6.300
Ambos Sexos;Total Universidades Privadas Presenciales;723 - Enfermería y atención a enfermos;9.185
Ambos Sexos;Total Universidades Privadas Presenciales;724 - Estudios dentales;6.034
Ambos Sexos;Total Universidades Privadas Presenciales;725 - Tecnología de diagnóstico y tratamiento médico;491
Ambos Sexos;Total Universidades Privadas Presenciales;726 - Terapia y rehabilitación;7.902
Ambos Sexos;Total Universidades Privadas Presenciales;727 - Farmacia;2.402
Ambos Sexos;Total Universidades Privadas Presenciales;762 - Trabajo social y orientación;624
Ambos Sexos;Total Universidades Privadas Presenciales;Total Servicios;8.074
Ambos Sexos;Total Universidades Privadas Presenciales;811 - Hostelería;398
Ambos Sexos;Total Universidades Privadas Presenciales;812 - Viajes, turismo y ocio;1.052
Ambos Sexos;Total Universidades Privadas Presenciales;813 - Deportes;6.503
Ambos Sexos;Total Universidades Privadas Presenciales;840 - Servicios de transporte;82
Ambos Sexos;Total Universidades Privadas Presenciales;851 - Control y tecnología medioambiental;39
Ambos Sexos;Abat Oliba CEU;Total Ámbito;1.520
Ambos Sexos;Abat Oliba CEU;Total Educación;178
Ambos Sexos;Abat Oliba CEU;140 - Formación de personal docente y ciencias de la educación;..
Ambos Sexos;Abat Oliba CEU;142 - Ciencias de la educación;..
Ambos Sexos;Abat Oliba CEU;143 - Formación de docentes de enseñanza infantil;91
Ambos Sexos;Abat Oliba CEU;144 - Formación de docentes de enseñanza primaria;87
Ambos Sexos;Abat Oliba CEU;145 - Formación de docentes de enseñanza de temas especiales;..
Ambos Sexos;Abat Oliba CEU;146 - Formación de docentes de formación profesional;..
Ambos Sexos;Abat Oliba CEU;Total Artes y humanidades;..
Ambos Sexos;Abat Oliba CEU;211 - Bellas artes;..
Ambos Sexos;Abat Oliba CEU;212 - Música y artes del espectáculo;..
Ambos Sexos;Abat Oliba CEU;213 - Técnicas audiovisuales y medios de comunicación;..
Ambos Sexos;Abat Oliba CEU;214 - Diseño;..
Ambos Sexos;Abat Oliba CEU;220 - Humanidades;..
Ambos Sexos;Abat Oliba CEU;221 - Religión;..
Ambos Sexos;Abat Oliba CEU;222 - Lenguas extranjeras;..
Ambos Sexos;Abat Oliba CEU;223 - Lenguas y dialectos españoles;..
Ambos Sexos;Abat Oliba CEU;225 - Historia y arqueología;..
Ambos Sexos;Abat Oliba CEU;226 - Filosofía y ética;..
Ambos Sexos;Abat Oliba CEU;Total Ciencias sociales, educación comercial y derecho;1.342
Ambos Sexos;Abat Oliba CEU;311 - Psicología;303
Ambos Sexos;Abat Oliba CEU;312 - Sociología, antropología y geografía social y cultural;32
Ambos Sexos;Abat Oliba CEU;313 - Ciencias políticas;12
Ambos Sexos;Abat Oliba CEU;314 - Economía;70
Ambos Sexos;Abat Oliba CEU;320 - Periodismo e información;..
Ambos Sexos;Abat Oliba CEU;321 - Periodismo;103
Ambos Sexos;Abat Oliba CEU;322 - Biblioteconomía, documentación y archivos;..
Ambos Sexos;Abat Oliba CEU;342 - Marketing y publicidad;262
Ambos Sexos;Abat Oliba CEU;343 - Finanzas, banca y seguros;..
Ambos Sexos;Abat Oliba CEU;345 - Administración y gestión de empresas;242
Ambos Sexos;Abat Oliba CEU;380 - Derecho;318
Ambos Sexos;Abat Oliba CEU;Total Ciencias;..
Ambos Sexos;Abat Oliba CEU;421 - Biología y Bioquímica;..
Ambos Sexos;Abat Oliba CEU;422 - Ciencias del medio ambiente;..
Ambos Sexos;Abat Oliba CEU;442 - Química;..
Ambos Sexos;Abat Oliba CEU;443 - Geología y meteorología;..
Ambos Sexos;Abat Oliba CEU;462 - Estadística;..
Ambos Sexos;Abat Oliba CEU;481 - Ciencias de la computación;..
Ambos Sexos;Abat Oliba CEU;Total Ingeniería, industria y construcción;..
Ambos Sexos;Abat Oliba CEU;520 - Ingeniería y profesiones afines;..
Ambos Sexos;Abat Oliba CEU;521 - Mecánica y metalurgia;..
Ambos Sexos;Abat Oliba CEU;522 - Electricidad y energía;..
Ambos Sexos;Abat Oliba CEU;523 - Electrónica y automática;..
Ambos Sexos;Abat Oliba CEU;524 - Procesos químicos;..
Ambos Sexos;Abat Oliba CEU;525 - Vehículos de motor, barcos y aeronaves;..
Ambos Sexos;Abat Oliba CEU;541 - Industria de la alimentación;..
Ambos Sexos;Abat Oliba CEU;544 - Minería y extracción;..
Ambos Sexos;Abat Oliba CEU;581 - Arquitectura y urbanismo;..
Ambos Sexos;Abat Oliba CEU;582 - Construcción e ingeniería civil;..
Ambos Sexos;Abat Oliba CEU;Total Agricultura y veterinaria;..
Ambos Sexos;Abat Oliba CEU;621 - Producción agrícola y explotación ganadera;..
Ambos Sexos;Abat Oliba CEU;623 - Silvicultura;..
Ambos Sexos;Abat Oliba CEU;641 - Veterinaria;..
Ambos Sexos;Abat Oliba CEU;Total Salud y servicios sociales;..
Ambos Sexos;Abat Oliba CEU;720 - Salud;..
Ambos Sexos;Abat Oliba CEU;721 - Medicina;..
Ambos Sexos;Abat Oliba CEU;723 - Enfermería y atención a enfermos;..
Ambos Sexos;Abat Oliba CEU;724 - Estudios dentales;..
Ambos Sexos;Abat Oliba CEU;725 - Tecnología de diagnóstico y tratamiento médico;..
Ambos Sexos;Abat Oliba CEU;726 - Terapia y rehabilitación;..
Ambos Sexos;Abat Oliba CEU;727 - Farmacia;..
Ambos Sexos;Abat Oliba CEU;762 - Trabajo social y orientación;..
Ambos Sexos;Abat Oliba CEU;Total Servicios;..
Ambos Sexos;Abat Oliba CEU;811 - Hostelería;..
Ambos Sexos;Abat Oliba CEU;812 - Viajes, turismo y ocio;..
Ambos Sexos;Abat Oliba CEU;813 - Deportes;..
Ambos Sexos;Abat Oliba CEU;840 - Servicios de transporte;..
Ambos Sexos;Abat Oliba CEU;851 - Control y tecnología medioambiental;..
Ambos Sexos;Alfonso X El Sabio;Total Ámbito;6.458
Ambos Sexos;Alfonso X El Sabio;Total Educación;56
Ambos Sexos;Alfonso X El Sabio;140 - Formación de personal docente y ciencias de la educación;..
Ambos Sexos;Alfonso X El Sabio;142 - Ciencias de la educación;..
Ambos Sexos;Alfonso X El Sabio;143 - Formación de docentes de enseñanza infantil;56
Ambos Sexos;Alfonso X El Sabio;144 - Formación de docentes de enseñanza primaria;..
Ambos Sexos;Alfonso X El Sabio;145 - Formación de docentes de enseñanza de temas especiales;..
Ambos Sexos;Alfonso X El Sabio;146 - Formación de docentes de formación profesional;..
Ambos Sexos;Alfonso X El Sabio;Total Artes y humanidades;116
Ambos Sexos;Alfonso X El Sabio;211 - Bellas artes;..
Ambos Sexos;Alfonso X El Sabio;212 - Música y artes del espectáculo;49
Ambos Sexos;Alfonso X El Sabio;213 - Técnicas audiovisuales y medios de comunicación;..
Ambos Sexos;Alfonso X El Sabio;214 - Diseño;..
Ambos Sexos;Alfonso X El Sabio;220 - Humanidades;..
Ambos Sexos;Alfonso X El Sabio;221 - Religión;..
Ambos Sexos;Alfonso X El Sabio;222 - Lenguas extranjeras;67
Ambos Sexos;Alfonso X El Sabio;223 - Lenguas y dialectos españoles;..
Ambos Sexos;Alfonso X El Sabio;225 - Historia y arqueología;..
Ambos Sexos;Alfonso X El Sabio;226 - Filosofía y ética;..
Ambos Sexos;Alfonso X El Sabio;Total Ciencias sociales, educación comercial y derecho;241
Ambos Sexos;Alfonso X El Sabio;311 - Psicología;..
Ambos Sexos;Alfonso X El Sabio;312 - Sociología, antropología y geografía social y cultural;..
Ambos Sexos;Alfonso X El Sabio;313 - Ciencias políticas;22
Ambos Sexos;Alfonso X El Sabio;314 - Economía;..
Ambos Sexos;Alfonso X El Sabio;320 - Periodismo e información;..
Ambos Sexos;Alfonso X El Sabio;321 - Periodismo;..
Ambos Sexos;Alfonso X El Sabio;322 - Biblioteconomía, documentación y archivos;..
Ambos Sexos;Alfonso X El Sabio;342 - Marketing y publicidad;4
Ambos Sexos;Alfonso X El Sabio;343 - Finanzas, banca y seguros;..
Ambos Sexos;Alfonso X El Sabio;345 - Administración y gestión de empresas;125
Ambos Sexos;Alfonso X El Sabio;380 - Derecho;90
Ambos Sexos;Alfonso X El Sabio;Total Ciencias;69
Ambos Sexos;Alfonso X El Sabio;421 - Biología y Bioquímica;..
Ambos Sexos;Alfonso X El Sabio;422 - Ciencias del medio ambiente;30
Ambos Sexos;Alfonso X El Sabio;442 - Química;..
Ambos Sexos;Alfonso X El Sabio;443 - Geología y meteorología;..
