Nivel y Ciclo;Grupo de edad;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Total Centros;Ambos Sexos;406.146
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Total Centros;Mujeres;219.345
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Total Centros;Hombres;186.801
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Centros propios;Ambos Sexos;391.221
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Centros propios;Mujeres;210.073
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Centros propios;Hombres;181.148
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Centros adscritos;Ambos Sexos;14.925
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Centros adscritos;Mujeres;9.272
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Centros adscritos;Hombres;5.653
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Total Centros;Ambos Sexos;368.079
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Total Centros;Mujeres;199.839
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Total Centros;Hombres;168.240
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Centros propios;Ambos Sexos;353.164
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Centros propios;Mujeres;190.573
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Centros propios;Hombres;162.591
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Universidades públicas;Centros adscritos;Ambos Sexos;14.915
