Nivel y Ciclo;Grupo de edad;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Ambos Sexos;1.434.729
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Mujeres;778.419
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Hombres;656.310
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Ambos Sexos;1.373.971
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Mujeres;742.347
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Hombres;631.624
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Ambos Sexos;60.758
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Mujeres;36.072
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Hombres;24.686
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Ambos Sexos;1.260.404
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Mujeres;683.215
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Hombres;577.189
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Ambos Sexos;1.203.443
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Mujeres;649.286
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Hombres;554.157
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Ambos Sexos;56.961
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Mujeres;33.929
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Hombres;23.032
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Total Centros;Ambos Sexos;174.325
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Total Centros;Mujeres;95.204
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Total Centros;Hombres;79.121
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros propios;Ambos Sexos;170.528
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros propios;Mujeres;93.061
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros propios;Hombres;77.467
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros adscritos;Ambos Sexos;3.797
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros adscritos;Mujeres;2.143
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros adscritos;Hombres;1.654
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Total Centros;Ambos Sexos;606.315
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Total Centros;Mujeres;348.614
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Total Centros;Hombres;257.701
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros propios;Ambos Sexos;573.568
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros propios;Mujeres;328.430
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros propios;Hombres;245.138
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros adscritos;Ambos Sexos;32.747
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros adscritos;Mujeres;20.184
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros adscritos;Hombres;12.563
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Total Centros;Ambos Sexos;542.831
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Total Centros;Mujeres;311.146
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Total Centros;Hombres;231.685
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Centros propios;Ambos Sexos;512.462
