Nivel y Ciclo;Grupo de edad;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Ambos Sexos;1.364.023
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Mujeres;739.088
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Hombres;624.935
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Ambos Sexos;1.300.133
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Mujeres;702.606
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Hombres;597.527
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Ambos Sexos;63.890
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Mujeres;36.482
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Hombres;27.408
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Ambos Sexos;1.187.976
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Mujeres;641.865
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Hombres;546.111
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Ambos Sexos;1.129.770
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Mujeres;608.538
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Hombres;521.232
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Ambos Sexos;58.206
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Mujeres;33.327
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Hombres;24.879
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Total Centros;Ambos Sexos;176.047
