Nivel y Ciclo;Grupo de edad;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Ambos Sexos;1.456.783
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Mujeres;787.491
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Hombres;669.292
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Ambos Sexos;1.395.674
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Mujeres;750.916
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Hombres;644.758
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Ambos Sexos;61.109
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Mujeres;36.575
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Hombres;24.534
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Ambos Sexos;1.282.794
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Mujeres;693.605
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Hombres;589.189
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Ambos Sexos;1.224.368
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Mujeres;658.535
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Hombres;565.833
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Ambos Sexos;58.426
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Mujeres;35.070
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Hombres;23.356
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Total Centros;Ambos Sexos;173.989
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Total Centros;Mujeres;93.886
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Total Centros;Hombres;80.103
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros propios;Ambos Sexos;171.306
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros propios;Mujeres;92.381
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros propios;Hombres;78.925
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros adscritos;Ambos Sexos;2.683
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros adscritos;Mujeres;1.505
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros adscritos;Hombres;1.178
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Total Centros;Ambos Sexos;591.885
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Total Centros;Mujeres;340.559
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Total Centros;Hombres;251.326
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros propios;Ambos Sexos;560.061
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros propios;Mujeres;320.836
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros propios;Hombres;239.225
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros adscritos;Ambos Sexos;31.824
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros adscritos;Mujeres;19.723
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros adscritos;Hombres;12.101
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Total Centros;Ambos Sexos;530.369
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Total Centros;Mujeres;304.466
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Total Centros;Hombres;225.903
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Centros propios;Ambos Sexos;500.338
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Centros propios;Mujeres;285.828
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Centros propios;Hombres;214.510
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Centros adscritos;Ambos Sexos;30.031
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Centros adscritos;Mujeres;18.638
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Centros adscritos;Hombres;11.393
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Total Centros;Ambos Sexos;61.516
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Total Centros;Mujeres;36.093
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Total Centros;Hombres;25.423
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Centros propios;Ambos Sexos;59.723
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Centros propios;Mujeres;35.008
