Universidad;Ámbito de estudio ISCED 1999;Total
Total Universidades;Total Ámbito;1.232.390
Total Universidades;Total Educación;140.496
Total Universidades;142 - Ciencias de la educación;45.198
Total Universidades;143 - Formación de docentes de enseñanza infantil;24.556
Total Universidades;144 - Formación de docentes de enseñanza primaria;31.274
Total Universidades;145 - Formación de docentes de enseñanza de temas especiales;14.347
Total Universidades;146 - Formación de docentes de formación profesional;25.121
Total Universidades;Total Artes y humanidades;113.125
Total Universidades;210 - Artes;..
Total Universidades;211 - Bellas artes;23.639
Total Universidades;212 - Música y artes del espectáculo;1.593
Total Universidades;213 - Técnicas audiovisuales y medios de comunicación;9.144
Total Universidades;214 - Diseño;102
Total Universidades;220 - Humanidades;4.405
Total Universidades;222 - Lenguas extranjeras;30.589
Total Universidades;223 - Lenguas y dialectos españoles;11.110
Total Universidades;224 - Historia, filosofía y temas relacionados;..
Total Universidades;225 - Historia y arqueología;25.237
Total Universidades;226 - Filosofia y ética;7.235
Total Universidades;Total Ciencias sociales, educación comercial y derecho;425.296
Total Universidades;311 - Psicología;47.667
Total Universidades;312 - Sociología, antropología y geografía social y cultural;23.175
Total Universidades;313 - Ciencias políticas;10.229
Total Universidades;314 - Economía;28.709
Total Universidades;321 - Periodismo;15.182
Total Universidades;322 - Biblioteconomía, documentación y archivos;3.180
Total Universidades;342 - Marketing y publicidad;13.610
Total Universidades;343 - Finanzas, banca y seguros;183
Total Universidades;345 - Administración y gestión de empresas;190.833
Total Universidades;380 - Derecho;92.528
Total Universidades;Total Ciencias;135.015
Total Universidades;421 - Biología y Bioquímica;23.925
Total Universidades;422 - Ciencias del medio ambiente;14.176
Total Universidades;441 - Física;7.566
Total Universidades;442 - Química;15.617
Total Universidades;443 - Geología y metereología;4.526
Total Universidades;461 - Matemáticas;6.906
Total Universidades;462 - Estadística;2.382
Total Universidades;481 - Ciencias de la computación;59.917
Total Universidades;Total Ingeniería, industria y construcción;226.010
Total Universidades;520 - Ingeniería y profesiones afines;34.410
Total Universidades;521 - Mecánica y metalurgia;24.995
Total Universidades;522 - Electricidad y energía;10.520
Total Universidades;523 - Electrónica y automática;43.928
Total Universidades;524 - Procesos químicos;18.007
Total Universidades;525 - Vehículos de motor, barcos y aeronaves;9.096
Total Universidades;541 - Industria de la alimentación;5.503
Total Universidades;542 - Industria textil, confección, del calzado y piel;100
Total Universidades;544 - Minería y extracción;4.146
Total Universidades;581 - Arquitectura y urbanismo;53.673
Total Universidades;582 - Construcción e ingeniería civil;21.632
Total Universidades;Total Agricultura y veterinaria;26.263
Total Universidades;621 - Producción agrícola y explotación ganadera;9.334
Total Universidades;622 - Horticultura;3.420
Total Universidades;623 - Silvicultura;5.751
Total Universidades;641 - Veterinaria;7.758
Total Universidades;Total Salud y servicios sociales;125.946
Total Universidades;721 - Medicina;29.702
Total Universidades;723 - Enfermería y atención a enfermos;28.389
Total Universidades;724 - Estudios dentales;4.149
Total Universidades;725 - Tecnología de diagnóstico y tratamiento médico;3.610
Total Universidades;726 - Terapia y rehabilitación;18.991
Total Universidades;727 - Farmacia;17.214
Total Universidades;762 - Trabajo social y orientación;23.891
Total Universidades;Total Servicios;40.239
Total Universidades;812 - Viajes, turismo y ocio;27.490
Total Universidades;813 - Deportes;11.503
Total Universidades;840 - Servicios de transporte;1.246
Universidades Públicas Presenciales;Total Ámbito;1.083.418
Universidades Públicas Presenciales;Total Educación;121.573
Universidades Públicas Presenciales;142 - Ciencias de la educación;26.275
Universidades Públicas Presenciales;143 - Formación de docentes de enseñanza infantil;24.556
Universidades Públicas Presenciales;144 - Formación de docentes de enseñanza primaria;31.274
Universidades Públicas Presenciales;145 - Formación de docentes de enseñanza de temas especiales;14.347
Universidades Públicas Presenciales;146 - Formación de docentes de formación profesional;25.121
Universidades Públicas Presenciales;Total Artes y humanidades;94.471
Universidades Públicas Presenciales;210 - Artes;..
Universidades Públicas Presenciales;211 - Bellas artes;23.639
Universidades Públicas Presenciales;212 - Música y artes del espectáculo;1.593
Universidades Públicas Presenciales;213 - Técnicas audiovisuales y medios de comunicación;9.144
Universidades Públicas Presenciales;214 - Diseño;102
Universidades Públicas Presenciales;220 - Humanidades;4.405
Universidades Públicas Presenciales;222 - Lenguas extranjeras;27.418
Universidades Públicas Presenciales;223 - Lenguas y dialectos españoles;8.633
Universidades Públicas Presenciales;224 - Historia, filosofía y temas relacionados;..
Universidades Públicas Presenciales;225 - Historia y arqueología;14.597
Universidades Públicas Presenciales;226 - Filosofia y ética;4.869
Universidades Públicas Presenciales;Total Ciencias sociales, educación comercial y derecho;353.892
Universidades Públicas Presenciales;311 - Psicología;30.273
Universidades Públicas Presenciales;312 - Sociología, antropología y geografía social y cultural;13.768
Universidades Públicas Presenciales;313 - Ciencias políticas;6.745
Universidades Públicas Presenciales;314 - Economía;25.225
Universidades Públicas Presenciales;321 - Periodismo;15.182
Universidades Públicas Presenciales;322 - Biblioteconomía, documentación y archivos;3.180
Universidades Públicas Presenciales;342 - Marketing y publicidad;13.610
Universidades Públicas Presenciales;343 - Finanzas, banca y seguros;183
Universidades Públicas Presenciales;345 - Administración y gestión de empresas;173.581
Universidades Públicas Presenciales;380 - Derecho;72.145
Universidades Públicas Presenciales;Total Ciencias;118.075
Universidades Públicas Presenciales;421 - Biología y Bioquímica;23.925
Universidades Públicas Presenciales;422 - Ciencias del medio ambiente;10.873
Universidades Públicas Presenciales;441 - Física;6.314
Universidades Públicas Presenciales;442 - Química;14.487
Universidades Públicas Presenciales;443 - Geología y metereología;4.526
Universidades Públicas Presenciales;461 - Matemáticas;5.764
Universidades Públicas Presenciales;462 - Estadística;2.382
Universidades Públicas Presenciales;481 - Ciencias de la computación;49.804
Universidades Públicas Presenciales;Total Ingeniería, industria y construcción;218.004
Universidades Públicas Presenciales;520 - Ingeniería y profesiones afines;31.549
Universidades Públicas Presenciales;521 - Mecánica y metalurgia;22.529
Universidades Públicas Presenciales;522 - Electricidad y energía;9.198
Universidades Públicas Presenciales;523 - Electrónica y automática;42.571
Universidades Públicas Presenciales;524 - Procesos químicos;18.007
Universidades Públicas Presenciales;525 - Vehículos de motor, barcos y aeronaves;9.096
Universidades Públicas Presenciales;541 - Industria de la alimentación;5.503
Universidades Públicas Presenciales;542 - Industria textil, confección, del calzado y piel;100
Universidades Públicas Presenciales;544 - Minería y extracción;4.146
Universidades Públicas Presenciales;581 - Arquitectura y urbanismo;53.673
Universidades Públicas Presenciales;582 - Construcción e ingeniería civil;21.632
Universidades Públicas Presenciales;Total Agricultura y veterinaria;26.263
Universidades Públicas Presenciales;621 - Producción agrícola y explotación ganadera;9.334
Universidades Públicas Presenciales;622 - Horticultura;3.420
Universidades Públicas Presenciales;623 - Silvicultura;5.751
Universidades Públicas Presenciales;641 - Veterinaria;7.758
Universidades Públicas Presenciales;Total Salud y servicios sociales;117.256
Universidades Públicas Presenciales;721 - Medicina;29.702
Universidades Públicas Presenciales;723 - Enfermería y atención a enfermos;28.389
Universidades Públicas Presenciales;724 - Estudios dentales;4.149
Universidades Públicas Presenciales;725 - Tecnología de diagnóstico y tratamiento médico;3.610
Universidades Públicas Presenciales;726 - Terapia y rehabilitación;18.991
Universidades Públicas Presenciales;727 - Farmacia;17.214
Universidades Públicas Presenciales;762 - Trabajo social y orientación;15.201
Universidades Públicas Presenciales;Total Servicios;33.884
Universidades Públicas Presenciales;812 - Viajes, turismo y ocio;21.135
Universidades Públicas Presenciales;813 - Deportes;11.503
Universidades Públicas Presenciales;840 - Servicios de transporte;1.246
A Coruña;Total Ámbito;19.337
A Coruña;Total Educación;1.752
A Coruña;142 - Ciencias de la educación;526
A Coruña;143 - Formación de docentes de enseñanza infantil;364
A Coruña;144 - Formación de docentes de enseñanza primaria;555
A Coruña;145 - Formación de docentes de enseñanza de temas especiales;.
A Coruña;146 - Formación de docentes de formación profesional;307
A Coruña;Total Artes y humanidades;512
A Coruña;210 - Artes;.
A Coruña;211 - Bellas artes;.
A Coruña;212 - Música y artes del espectáculo;.
A Coruña;213 - Técnicas audiovisuales y medios de comunicación;..
A Coruña;214 - Diseño;.
A Coruña;220 - Humanidades;..
A Coruña;222 - Lenguas extranjeras;210
A Coruña;223 - Lenguas y dialectos españoles;153
A Coruña;224 - Historia, filosofía y temas relacionados;.
A Coruña;225 - Historia y arqueología;.
A Coruña;226 - Filosofia y ética;.
A Coruña;Total Ciencias sociales, educación comercial y derecho;5.491
A Coruña;311 - Psicología;.
