Universidad;Ámbito de estudio ISCED 1999;Total
Total Universidades Públicas;Total Ámbito;1.239.142
Total Universidades Públicas;Total Educación;134.824
Total Universidades Públicas;140 - Formación de personal docente y ciencias de la educación;17.217
Total Universidades Públicas;142 - Ciencias de la educación;18.006
Total Universidades Públicas;143 - Formación de docentes de enseñanza infantil;38.611
Total Universidades Públicas;144 - Formación de docentes de enseñanza primaria;59.153
Total Universidades Públicas;145 - Formación de docentes de enseñanza de temas especiales;711
Total Universidades Públicas;146 - Formación de docentes de formación profesional;1.126
Total Universidades Públicas;Total Artes y humanidades;135.457
Total Universidades Públicas;211 - Bellas artes;29.389
Total Universidades Públicas;212 - Música y artes del espectáculo;1.857
Total Universidades Públicas;213 - Técnicas audiovisuales y medios de comunicación;12.554
Total Universidades Públicas;214 - Diseño;2.040
Total Universidades Públicas;220 - Humanidades;4.470
Total Universidades Públicas;222 - Lenguas extranjeras;39.253
Total Universidades Públicas;223 - Lenguas y dialectos españoles;13.784
Total Universidades Públicas;225 - Historia y arqueología;24.640
Total Universidades Públicas;226 - Filosofía y ética;7.470
Total Universidades Públicas;Total Ciencias sociales, educación comercial y derecho;416.735
Total Universidades Públicas;311 - Psicología;59.224
Total Universidades Públicas;312 - Sociología, antropología y geografía social y cultural;22.829
Total Universidades Públicas;313 - Ciencias políticas;11.805
Total Universidades Públicas;314 - Economía;28.382
Total Universidades Públicas;321 - Periodismo;16.445
Total Universidades Públicas;322 - Biblioteconomía, documentación y archivos;2.246
Total Universidades Públicas;342 - Marketing y publicidad;18.071
Total Universidades Públicas;343 - Finanzas, banca y seguros;10.220
Total Universidades Públicas;344 - Contabilidad y gestión de impuestos;1.183
Total Universidades Públicas;345 - Administración y gestión de empresas;146.270
Total Universidades Públicas;347 - Otros estudios referidos al puesto de trabajo;73
Total Universidades Públicas;380 - Derecho;99.987
Total Universidades Públicas;Total Ciencias;120.152
Total Universidades Públicas;421 - Biología y Bioquímica;24.315
Total Universidades Públicas;422 - Ciencias del medio ambiente;13.100
Total Universidades Públicas;441 - Física;9.106
Total Universidades Públicas;442 - Química;14.833
Total Universidades Públicas;443 - Geología y meteorología;3.922
Total Universidades Públicas;461 - Matemáticas;8.861
Total Universidades Públicas;462 - Estadística;1.920
Total Universidades Públicas;481 - Ciencias de la computación;44.095
Total Universidades Públicas;Total Ingeniería, industria y construcción;220.618
Total Universidades Públicas;520 - Ingeniería y profesiones afines;31.475
Total Universidades Públicas;521 - Mecánica y metalurgia;30.552
Total Universidades Públicas;522 - Electricidad y energía;12.370
Total Universidades Públicas;523 - Electrónica y automática;41.437
Total Universidades Públicas;524 - Procesos químicos;16.284
Total Universidades Públicas;525 - Vehículos de motor, barcos y aeronaves;13.269
Total Universidades Públicas;541 - Industria de la alimentación;5.341
Total Universidades Públicas;542 - Industria textil, confección, del calzado y piel;370
Total Universidades Públicas;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);2.086
Total Universidades Públicas;544 - Minería y extracción;3.953
Total Universidades Públicas;581 - Arquitectura y urbanismo;39.856
Total Universidades Públicas;582 - Construcción e ingeniería civil;23.625
Total Universidades Públicas;Total Agricultura y veterinaria;22.814
Total Universidades Públicas;621 - Producción agrícola y explotación ganadera;10.182
Total Universidades Públicas;622 - Horticultura;725
Total Universidades Públicas;623 - Silvicultura;4.273
Total Universidades Públicas;641 - Veterinaria;7.634
Total Universidades Públicas;Total Salud y servicios sociales;147.288
Total Universidades Públicas;720 - Salud;231
Total Universidades Públicas;721 - Medicina;36.507
Total Universidades Públicas;723 - Enfermería y atención a enfermos;37.746
Total Universidades Públicas;724 - Estudios dentales;3.761
Total Universidades Públicas;725 - Tecnología de diagnóstico y tratamiento médico;4.776
Total Universidades Públicas;726 - Terapia y rehabilitación;24.466
Total Universidades Públicas;727 - Farmacia;16.355
Total Universidades Públicas;762 - Trabajo social y orientación;23.446
Total Universidades Públicas;Total Servicios;41.254
Total Universidades Públicas;812 - Viajes, turismo y ocio;24.938
Total Universidades Públicas;813 - Deportes;13.467
Total Universidades Públicas;840 - Servicios de transporte;443
Total Universidades Públicas;851 - Control y tecnología medioambiental;1.363
Total Universidades Públicas;861 - Protección de la propiedad y las personas;234
Total Universidades Públicas;862 - Salud y seguridad en el trabajo;692
Total Universidades Públicas;863 - Enseñanza militar;117
Total Universidades Públicas Presenciales;Total Ámbito;1.084.812
Total Universidades Públicas Presenciales;Total Educación;122.603
Total Universidades Públicas Presenciales;140 - Formación de personal docente y ciencias de la educación;10.271
Total Universidades Públicas Presenciales;142 - Ciencias de la educación;12.731
Total Universidades Públicas Presenciales;143 - Formación de docentes de enseñanza infantil;38.611
Total Universidades Públicas Presenciales;144 - Formación de docentes de enseñanza primaria;59.153
