Universidad;Ámbito de estudio ISCED 1999;Total
Universidades Públicas Presenciales;345 - Administración y gestión de empresas;168.183
Universidades Públicas Presenciales;347 - Otros estudios referidos al puesto de trabajo;579
Universidades Públicas Presenciales;380 - Derecho;75.748
Universidades Públicas Presenciales;4 - Ciencias;112.919
Universidades Públicas Presenciales;421 - Biología y Bioquímica;23.770
Universidades Públicas Presenciales;422 - Ciencias del medio ambiente;9.754
Universidades Públicas Presenciales;441 - Física;6.200
Universidades Públicas Presenciales;442 - Química;14.021
Universidades Públicas Presenciales;443 - Geología y meteorología;4.168
Universidades Públicas Presenciales;461 - Matemáticas;5.975
Universidades Públicas Presenciales;462 - Estadística;2.504
Universidades Públicas Presenciales;481 - Ciencias de la computación;46.244
Universidades Públicas Presenciales;482 - Informática en el nivel de usuario;283
Universidades Públicas Presenciales;5 - Ingeniería, industria y construcción;221.573
Universidades Públicas Presenciales;520 - Ingeniería y profesiones afines;35.668
Universidades Públicas Presenciales;521 - Mecánica y metalurgia;21.337
Universidades Públicas Presenciales;522 - Electricidad y energía;9.381
Universidades Públicas Presenciales;523 - Electrónica y automática;40.742
Universidades Públicas Presenciales;524 - Procesos químicos;16.604
Universidades Públicas Presenciales;525 - Vehículos de motor, barcos y aeronaves;9.737
Universidades Públicas Presenciales;541 - Industria de la alimentación;4.825
Universidades Públicas Presenciales;542 - Industria textil, confección, del calzado y piel;253
Universidades Públicas Presenciales;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);313
Universidades Públicas Presenciales;544 - Minería y extracción;4.218
Universidades Públicas Presenciales;581 - Arquitectura y urbanismo;55.922
Universidades Públicas Presenciales;582 - Construcción e ingeniería civil;22.573
Universidades Públicas Presenciales;6 - Agricultura y veterinaria;25.756
Universidades Públicas Presenciales;620 - Agricultura, ganadería y pesca;..
Universidades Públicas Presenciales;621 - Producción agrícola y explotación ganadera;9.750
Universidades Públicas Presenciales;622 - Horticultura;2.616
Universidades Públicas Presenciales;623 - Silvicultura;5.538
Universidades Públicas Presenciales;641 - Veterinaria;7.808
Universidades Públicas Presenciales;7 - Salud y servicios sociales;118.705
Universidades Públicas Presenciales;721 - Medicina;31.223
Universidades Públicas Presenciales;723 - Enfermería y atención a enfermos;29.280
Universidades Públicas Presenciales;724 - Estudios dentales;4.092
Universidades Públicas Presenciales;725 - Tecnología de diagnóstico y tratamiento médico;3.610
Universidades Públicas Presenciales;726 - Terapia y rehabilitación;18.654
Universidades Públicas Presenciales;727 - Farmacia;17.096
Universidades Públicas Presenciales;762 - Trabajo social y orientación;14.750
Universidades Públicas Presenciales;8 - Servicios;34.294
Universidades Públicas Presenciales;812 - Viajes, turismo y ocio;20.250
Universidades Públicas Presenciales;813 - Deportes;12.514
