Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades públicas;Total Centros;Mujeres;10.980
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades públicas;Total Centros;Hombres;5.932
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades públicas;Centros propios;Ambos Sexos;15.584
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades públicas;Centros propios;Mujeres;10.226
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades públicas;Centros propios;Hombres;5.358
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades públicas;Centros adscritos;Ambos Sexos;1.328
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades públicas;Centros adscritos;Mujeres;754
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades públicas;Centros adscritos;Hombres;574
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades privadas;Total Centros;Ambos Sexos;6.682
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades privadas;Total Centros;Mujeres;3.263
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades privadas;Total Centros;Hombres;3.419
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades privadas;Centros propios;Ambos Sexos;6.186
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades privadas;Centros propios;Mujeres;3.046
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades privadas;Centros propios;Hombres;3.140
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades privadas;Centros adscritos;Ambos Sexos;496
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades privadas;Centros adscritos;Mujeres;217
Total Grado y 1º y 2º Ciclo;Unión Europea (28);Universidades privadas;Centros adscritos;Hombres;279
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Total Centros;Ambos Sexos;4.764
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Total Centros;Mujeres;3.039
