Universidad;Ámbito de estudio ISCED 1999;Total
Total Universidades Privadas;Total Ámbito;177.685
Total Universidades Privadas;Total Educación;33.363
Total Universidades Privadas;140 - Formación de personal docente y ciencias de la educación;3.818
Total Universidades Privadas;142 - Ciencias de la educación;1.821
Total Universidades Privadas;143 - Formación de docentes de enseñanza infantil;10.662
Total Universidades Privadas;144 - Formación de docentes de enseñanza primaria;16.751
Total Universidades Privadas;145 - Formación de docentes de enseñanza de temas especiales;..
Total Universidades Privadas;146 - Formación de docentes de formación profesional;245
Total Universidades Privadas;Total Artes y humanidades;12.680
Total Universidades Privadas;211 - Bellas artes;189
Total Universidades Privadas;212 - Música y artes del espectáculo;170
Total Universidades Privadas;213 - Técnicas audiovisuales y medios de comunicación;7.097
Total Universidades Privadas;214 - Diseño;1.239
Total Universidades Privadas;220 - Humanidades;1.846
Total Universidades Privadas;221 - Religión;236
Total Universidades Privadas;222 - Lenguas extranjeras;867
Total Universidades Privadas;223 - Lenguas y dialectos españoles;611
Total Universidades Privadas;225 - Historia y arqueología;252
Total Universidades Privadas;226 - Filosofía y ética;173
Total Universidades Privadas;Total Ciencias sociales, educación comercial y derecho;62.950
Total Universidades Privadas;311 - Psicología;10.252
Total Universidades Privadas;312 - Sociología, antropología y geografía social y cultural;3.035
Total Universidades Privadas;313 - Ciencias políticas;1.001
Total Universidades Privadas;314 - Economía;625
Total Universidades Privadas;320 - Periodismo e información;316
Total Universidades Privadas;321 - Periodismo;4.324
Total Universidades Privadas;322 - Biblioteconomía, documentación y archivos;478
Total Universidades Privadas;342 - Marketing y publicidad;5.402
Total Universidades Privadas;343 - Finanzas, banca y seguros;168
Total Universidades Privadas;344 - Contabilidad y gestión de impuestos;.
Total Universidades Privadas;345 - Administración y gestión de empresas;23.220
Total Universidades Privadas;347 - Otros estudios referidos al puesto de trabajo;375
Total Universidades Privadas;380 - Derecho;13.751
Total Universidades Privadas;Total Ciencias;7.371
Total Universidades Privadas;421 - Biología y Bioquímica;671
Total Universidades Privadas;422 - Ciencias del medio ambiente;195
Total Universidades Privadas;442 - Química;207
Total Universidades Privadas;443 - Geología y meteorología;110
Total Universidades Privadas;462 - Estadística;..
Total Universidades Privadas;481 - Ciencias de la computación;6.172
Total Universidades Privadas;Total Ingeniería, industria y construcción;17.379
Total Universidades Privadas;520 - Ingeniería y profesiones afines;3.233
Total Universidades Privadas;521 - Mecánica y metalurgia;2.224
Total Universidades Privadas;522 - Electricidad y energía;227
Total Universidades Privadas;523 - Electrónica y automática;2.752
Total Universidades Privadas;524 - Procesos químicos;779
Total Universidades Privadas;525 - Vehículos de motor, barcos y aeronaves;214
Total Universidades Privadas;541 - Industria de la alimentación;148
Total Universidades Privadas;544 - Minería y extracción;..
Total Universidades Privadas;580 - Arquitectura y construcción;..
Total Universidades Privadas;581 - Arquitectura y urbanismo;6.208
Total Universidades Privadas;582 - Construcción e ingeniería civil;1.533
Total Universidades Privadas;Total Agricultura y veterinaria;2.473
Total Universidades Privadas;621 - Producción agrícola y explotación ganadera;347
Total Universidades Privadas;623 - Silvicultura;274
Total Universidades Privadas;641 - Veterinaria;1.852
Total Universidades Privadas;Total Salud y servicios sociales;32.925
Total Universidades Privadas;720 - Salud;240
Total Universidades Privadas;721 - Medicina;5.652
Total Universidades Privadas;723 - Enfermería y atención a enfermos;9.984
Total Universidades Privadas;724 - Estudios dentales;5.877
Total Universidades Privadas;725 - Tecnología de diagnóstico y tratamiento médico;420
Total Universidades Privadas;726 - Terapia y rehabilitación;7.260
Total Universidades Privadas;727 - Farmacia;2.370
Total Universidades Privadas;762 - Trabajo social y orientación;1.122
Total Universidades Privadas;Total Servicios;8.544
Total Universidades Privadas;811 - Hostelería;254
Total Universidades Privadas;812 - Viajes, turismo y ocio;1.870
Total Universidades Privadas;813 - Deportes;6.327
Total Universidades Privadas;840 - Servicios de transporte;..
Total Universidades Privadas;851 - Control y tecnología medioambiental;..
Total Universidades Privadas Presenciales;Total Ámbito;126.307
Total Universidades Privadas Presenciales;Total Educación;20.954
Total Universidades Privadas Presenciales;140 - Formación de personal docente y ciencias de la educación;1.952
Total Universidades Privadas Presenciales;142 - Ciencias de la educación;322
Total Universidades Privadas Presenciales;143 - Formación de docentes de enseñanza infantil;6.622
Total Universidades Privadas Presenciales;144 - Formación de docentes de enseñanza primaria;11.747
Total Universidades Privadas Presenciales;145 - Formación de docentes de enseñanza de temas especiales;..
Total Universidades Privadas Presenciales;146 - Formación de docentes de formación profesional;245
Total Universidades Privadas Presenciales;Total Artes y humanidades;6.960
Total Universidades Privadas Presenciales;211 - Bellas artes;189
Total Universidades Privadas Presenciales;212 - Música y artes del espectáculo;116
Total Universidades Privadas Presenciales;213 - Técnicas audiovisuales y medios de comunicación;3.577
Total Universidades Privadas Presenciales;214 - Diseño;1.239
Total Universidades Privadas Presenciales;220 - Humanidades;236
Total Universidades Privadas Presenciales;221 - Religión;236
Total Universidades Privadas Presenciales;222 - Lenguas extranjeras;867
Total Universidades Privadas Presenciales;223 - Lenguas y dialectos españoles;162
Total Universidades Privadas Presenciales;225 - Historia y arqueología;165
Total Universidades Privadas Presenciales;226 - Filosofía y ética;173
Total Universidades Privadas Presenciales;Total Ciencias sociales, educación comercial y derecho;36.135
