Universidad;Ámbito de estudio ISCED 1999;Total
Total Universidades;Total;172.186
Total Universidades;1 - Educación;23.719
Total Universidades;142 - Ciencias de la educación;4.830
Total Universidades;143 - Formación de docentes de enseñanza infantil;7.665
Total Universidades;144 - Formación de docentes de enseñanza primaria;7.911
Total Universidades;145 - Formación de docentes de enseñanza de temas especiales;1.729
Total Universidades;146 - Formación de docentes de formación profesional;1.584
Total Universidades;2 - Artes y humanidades;13.238
Total Universidades;211 - Bellas artes;236
Total Universidades;212 - Música y artes del espectáculo;..
Total Universidades;213 - Técnicas audiovisuales y medios de comunicación;6.294
Total Universidades;214 - Diseño;1.615
Total Universidades;220 - Humanidades;2.798
Total Universidades;222 - Lenguas extranjeras;1.005
Total Universidades;223 - Lenguas y dialectos españoles;771
Total Universidades;224 - Historia, filosofía y temas relacionados;..
Total Universidades;225 - Historia y arqueología;228
Total Universidades;226 - Filosofía y ética;145
Total Universidades;3 - Ciencias sociales, educación comercial y derecho;64.498
Total Universidades;300 - Ciencias sociales, educación comercial y derecho;..
Total Universidades;311 - Psicología;9.698
Total Universidades;312 - Sociología, antropología y geografía social y cultural;1.710
Total Universidades;313 - Ciencias políticas;663
Total Universidades;314 - Economía;572
Total Universidades;321 - Periodismo;3.681
Total Universidades;322 - Biblioteconomía, documentación y archivos;874
Total Universidades;342 - Marketing y publicidad;6.424
Total Universidades;343 - Finanzas, banca y seguros;..
Total Universidades;345 - Administración y gestión de empresas;26.912
Total Universidades;346 - Secretariado y trabajo administrativo;130
Total Universidades;347 - Otros estudios referidos al puesto de trabajo;..
Total Universidades;380 - Derecho;13.725
Total Universidades;4 - Ciencias;9.662
Total Universidades;400 - Ciencias;.
Total Universidades;421 - Biología y Bioquímica;659
Total Universidades;422 - Ciencias del medio ambiente;361
Total Universidades;442 - Química;168
Total Universidades;443 - Geología y meteorología;124
Total Universidades;462 - Estadística;..
Total Universidades;480 - Informática;107
Total Universidades;481 - Ciencias de la computación;8.201
Total Universidades;5 - Ingeniería, industria y construcción;26.713
Total Universidades;520 - Ingeniería y profesiones afines;3.189
Total Universidades;521 - Mecánica y metalurgia;1.079
Total Universidades;522 - Electricidad y energía;246
Total Universidades;523 - Electrónica y automática;4.023
Total Universidades;524 - Procesos químicos;773
Total Universidades;525 - Vehículos de motor, barcos y aeronaves;..
Total Universidades;541 - Industria de la alimentación;138
Total Universidades;581 - Arquitectura y urbanismo;14.819
Total Universidades;582 - Construcción e ingeniería civil;2.419
Total Universidades;6 - Agricultura y veterinaria;1.421
Total Universidades;621 - Producción agrícola y explotación ganadera;166
Total Universidades;622 - Horticultura;..
Total Universidades;623 - Silvicultura;132
Total Universidades;641 - Veterinaria;1.075
Total Universidades;7 - Salud y servicios sociales;25.857
Total Universidades;721 - Medicina;3.146
Total Universidades;723 - Enfermería y atención a enfermos;7.852
Total Universidades;724 - Estudios dentales;5.221
Total Universidades;725 - Tecnología de diagnóstico y tratamiento médico;406
Total Universidades;726 - Terapia y rehabilitación;5.793
Total Universidades;727 - Farmacia;2.573
Total Universidades;762 - Trabajo social y orientación;866
Total Universidades;8 - Servicios;7.078
Total Universidades;812 - Viajes, turismo y ocio;2.172
Total Universidades;813 - Deportes;4.848
Total Universidades;840 - Servicios de transporte;..
Universidades Privadas Presenciales;Total;123.387
Universidades Privadas Presenciales;1 - Educación;17.481
Universidades Privadas Presenciales;142 - Ciencias de la educación;1.607
Universidades Privadas Presenciales;143 - Formación de docentes de enseñanza infantil;6.190
Universidades Privadas Presenciales;144 - Formación de docentes de enseñanza primaria;6.371
Universidades Privadas Presenciales;145 - Formación de docentes de enseñanza de temas especiales;1.729
Universidades Privadas Presenciales;146 - Formación de docentes de formación profesional;1.584
Universidades Privadas Presenciales;2 - Artes y humanidades;7.093
Universidades Privadas Presenciales;211 - Bellas artes;236
