Universidad;Ámbito de estudio ISCED 1999;Total
Total Universidades;Total Ámbito;1.260.404
Total Universidades;Total Educación;133.622
Total Universidades;140 - Formación de personal docente y ciencias de la educación;15.614
Total Universidades;142 - Ciencias de la educación;24.444
Total Universidades;143 - Formación de docentes de enseñanza infantil;34.652
Total Universidades;144 - Formación de docentes de enseñanza primaria;53.580
Total Universidades;145 - Formación de docentes de enseñanza de temas especiales;1.980
Total Universidades;146 - Formación de docentes de formación profesional;3.352
Total Universidades;Total Artes y humanidades;136.618
Total Universidades;211 - Bellas artes;30.752
Total Universidades;212 - Música y artes del espectáculo;1.978
Total Universidades;213 - Técnicas audiovisuales y medios de comunicación;12.245
Total Universidades;214 - Diseño;1.682
Total Universidades;220 - Humanidades;4.562
Total Universidades;222 - Lenguas extranjeras;38.601
Total Universidades;223 - Lenguas y dialectos españoles;13.939
Total Universidades;225 - Historia y arqueología;25.246
Total Universidades;226 - Filosofía y ética;7.613
Total Universidades;Total Ciencias sociales, educación comercial y derecho;431.908
Total Universidades;311 - Psicología;59.808
Total Universidades;312 - Sociología, antropología y geografía social y cultural;22.581
Total Universidades;313 - Ciencias políticas;12.190
Total Universidades;314 - Economía;29.154
Total Universidades;321 - Periodismo;16.390
Total Universidades;322 - Biblioteconomía, documentación y archivos;2.457
Total Universidades;342 - Marketing y publicidad;17.656
Total Universidades;343 - Finanzas, banca y seguros;8.715
Total Universidades;344 - Contabilidad y gestión de impuestos;997
Total Universidades;345 - Administración y gestión de empresas;159.784
Total Universidades;347 - Otros estudios referidos al puesto de trabajo;..
Total Universidades;380 - Derecho;102.098
Total Universidades;Total Ciencias;122.932
Total Universidades;421 - Biología y Bioquímica;25.587
Total Universidades;422 - Ciencias del medio ambiente;13.586
Total Universidades;440 - Ciencias Físicas, químicas, geológicas;102
Total Universidades;441 - Física;8.671
Total Universidades;442 - Química;14.875
Total Universidades;443 - Geología y meteorología;4.047
Total Universidades;461 - Matemáticas;8.600
Total Universidades;462 - Estadística;2.272
Total Universidades;481 - Ciencias de la computación;45.192
Total Universidades;Total Ingeniería, industria y construcción;228.176
Total Universidades;520 - Ingeniería y profesiones afines;34.061
Total Universidades;521 - Mecánica y metalurgia;28.132
Total Universidades;522 - Electricidad y energía;12.370
Total Universidades;523 - Electrónica y automática;42.355
Total Universidades;524 - Procesos químicos;16.205
Total Universidades;525 - Vehículos de motor, barcos y aeronaves;12.563
Total Universidades;541 - Industria de la alimentación;5.237
Total Universidades;542 - Industria textil, confección, del calzado y piel;343
Total Universidades;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);1.822
Total Universidades;544 - Minería y extracción;4.569
Total Universidades;581 - Arquitectura y urbanismo;44.480
Total Universidades;582 - Construcción e ingeniería civil;26.039
Total Universidades;Total Agricultura y veterinaria;23.841
Total Universidades;620 - Agricultura, ganadería y pesca;163
Total Universidades;621 - Producción agrícola y explotación ganadera;10.202
Total Universidades;622 - Horticultura;1.048
Total Universidades;623 - Silvicultura;4.711
Total Universidades;641 - Veterinaria;7.717
Total Universidades;Total Salud y servicios sociales;141.536
Total Universidades;721 - Medicina;35.956
Total Universidades;723 - Enfermería y atención a enfermos;34.991
Total Universidades;724 - Estudios dentales;3.937
Total Universidades;725 - Tecnología de diagnóstico y tratamiento médico;4.247
Total Universidades;726 - Terapia y rehabilitación;22.681
Total Universidades;727 - Farmacia;16.083
Total Universidades;762 - Trabajo social y orientación;23.641
Total Universidades;Total Servicios;41.771
