Universidad;Ámbito de estudio ISCED 1999;Total
Universidades Públicas Presenciales;313 - Ciencias políticas;7.942
Universidades Públicas Presenciales;314 - Economía;25.039
Universidades Públicas Presenciales;321 - Periodismo;16.091
Universidades Públicas Presenciales;322 - Biblioteconomía, documentación y archivos;2.699
Universidades Públicas Presenciales;341 - Ventas al por mayor y al por menor;515
Universidades Públicas Presenciales;342 - Marketing y publicidad;15.126
Universidades Públicas Presenciales;343 - Finanzas, banca y seguros;5.152
Universidades Públicas Presenciales;344 - Contabilidad y gestión de impuestos;354
Universidades Públicas Presenciales;345 - Administración y gestión de empresas;159.572
Universidades Públicas Presenciales;346 - Secretariado y trabajo administrativo;72
Universidades Públicas Presenciales;347 - Otros estudios referidos al puesto de trabajo;1.219
Universidades Públicas Presenciales;380 - Derecho;76.980
Universidades Públicas Presenciales;4 - Ciencias;114.313
Universidades Públicas Presenciales;421 - Biología y Bioquímica;24.703
Universidades Públicas Presenciales;422 - Ciencias del medio ambiente;10.357
Universidades Públicas Presenciales;440 - Ciencias Físicas, químicas, geológicas;68
Universidades Públicas Presenciales;441 - Física;6.577
Universidades Públicas Presenciales;442 - Química;14.631
Universidades Públicas Presenciales;443 - Geología y meteorología;4.107
Universidades Públicas Presenciales;461 - Matemáticas;6.419
Universidades Públicas Presenciales;462 - Estadística;2.427
Universidades Públicas Presenciales;481 - Ciencias de la computación;43.942
Universidades Públicas Presenciales;482 - Informática en el nivel de usuario;1.082
Universidades Públicas Presenciales;5 - Ingeniería, industria y construcción;221.749
Universidades Públicas Presenciales;520 - Ingeniería y profesiones afines;33.157
Universidades Públicas Presenciales;521 - Mecánica y metalurgia;22.755
Universidades Públicas Presenciales;522 - Electricidad y energía;9.954
Universidades Públicas Presenciales;523 - Electrónica y automática;40.305
Universidades Públicas Presenciales;524 - Procesos químicos;15.880
Universidades Públicas Presenciales;525 - Vehículos de motor, barcos y aeronaves;10.145
Universidades Públicas Presenciales;540 - Industria manufacturera y producción;297
Universidades Públicas Presenciales;541 - Industria de la alimentación;5.365
Universidades Públicas Presenciales;542 - Industria textil, confección, del calzado y piel;320
Universidades Públicas Presenciales;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);596
Universidades Públicas Presenciales;544 - Minería y extracción;4.069
Universidades Públicas Presenciales;581 - Arquitectura y urbanismo;55.979
Universidades Públicas Presenciales;582 - Construcción e ingeniería civil;22.927
Universidades Públicas Presenciales;6 - Agricultura y veterinaria;24.431
Universidades Públicas Presenciales;620 - Agricultura, ganadería y pesca;725
Universidades Públicas Presenciales;621 - Producción agrícola y explotación ganadera;8.525
Universidades Públicas Presenciales;622 - Horticultura;2.021
