Universidad;Ámbito de estudio ISCED 1999;Total
Total;Total;1.282.794
Total;1 - Educación;137.877
Total;142 - Ciencias de la educación;43.292
Total;143 - Formación de docentes de enseñanza infantil;31.710
Total;144 - Formación de docentes de enseñanza primaria;48.446
Total;145 - Formación de docentes de enseñanza de temas especiales;5.396
Total;146 - Formación de docentes de formación profesional;9.033
Total;2 - Artes y humanidades;137.186
Total;210 - Artes;374
Total;211 - Bellas artes;30.883
Total;212 - Música y artes del espectáculo;1.963
Total;213 - Técnicas audiovisuales y medios de comunicación;11.930
Total;214 - Diseño;2.441
Total;220 - Humanidades;4.299
Total;222 - Lenguas extranjeras;37.327
Total;223 - Lenguas y dialectos españoles;13.492
Total;224 - Historia, filosofía y temas relacionados;1.258
Total;225 - Historia y arqueología;25.363
Total;226 - Filosofia y ética;7.856
Total;3 - Ciencias sociales, educación comercial y derecho;445.460
Total;310 - Ciencias sociales y del comportamiento;423
Total;311 - Psicología;59.451
Total;312 - Sociología, antropología y geografía social y cultural;22.537
Total;313 - Ciencias políticas;12.951
Total;314 - Economía;30.465
Total;321 - Periodismo;16.541
Total;322 - Biblioteconomía, documentación y archivos;2.628
Total;341 - Ventas al por mayor y al por menor;1.030
Total;342 - Marketing y publicidad;16.222
Total;343 - Finanzas, banca y seguros;7.258
Total;344 - Contabilidad y gestión de impuestos;584
Total;345 - Administración y gestión de empresas;168.668
Total;346 - Secretariado y trabajo administrativo;132
Total;347 - Otros estudios referidos al puesto de trabajo;1.616
Total;380 - Derecho;104.954
Total;4 - Ciencias;130.937
Total;421 - Biología y Bioquímica;25.652
Total;422 - Ciencias del medio ambiente;14.499
Total;440 - Ciencias Físicas, quimicas, geológicas;192
Total;441 - Física;8.361
Total;442 - Química;16.569
Total;443 - Geología y metereología;4.372
Total;461 - Matemáticas;8.346
Total;462 - Estadística;2.423
Total;481 - Ciencias de la computación;49.078
Total;482 - Informática en el nivel de usuario;1.445
Total;5 - Ingenieria, industria y construcción;230.254
Total;520 - Ingeniería y profesiones afines;35.260
Total;521 - Mecánica y metalurgia;25.654
Total;522 - Electricidad y energía;11.771
Total;523 - Electrónica y automática;43.129
Total;524 - Procesos químicos;15.130
Total;525 - Vehículos de motor, barcos y aeronaves;11.373
Total;540 - Industria manufacturera y producción;547
Total;541 - Industria de la alimentación;5.819
Total;542 - Industria textil, confección, del calzado y piel;313
Total;543 - Industrias de otros materiales ( madera, papel, plástico, vidrio);1.005
Total;544 - Minería y extracción;4.051
Total;581 - Arquitectura y urbanismo;51.883
Total;582 - Construcción e ingeniería civil;24.319
Total;6 - Agricultura y veterinaria;23.660
Total;620 - Agricultura,ganadería y pesca;944
Total;621 - Producción agrícola y explotación ganadera;8.398
Total;622 - Horticultura;1.615
Total;623 - Silvicultura;4.833
Total;641 - Veterinaria;7.870
Total;7 - Salud y servicios sociales;136.433
Total;721 - Medicina;34.930
Total;723 - Enfermería y atención a enfermos;32.015
Total;724 - Estudios dentales;3.999
Total;725 - Tecnología de diagnóstico y tratamiento médico;3.497
Total;726 - Terapia y rehabilitación;20.476
Total;727 - Farmacia;17.145
Total;762 - Trabajo social y orientación;24.371
Total;8 - Servicios;40.987
Total;812 - Viajes, turismo y ocio;24.263
Total;813 - Deportes;14.129
Total;840 - Servicios de transporte;1.765
Total;851 - Control y tecnología medioambiental;289
Total;852 - Entornos naturales y vida salvaje;108
Total;861 - Protección de la propiedad y las personas;433
Total Públicas Presenciales;Total;1.121.252
Total Públicas Presenciales;1 - Educación;121.900
Total Públicas Presenciales;142 - Ciencias de la educación;27.315
Total Públicas Presenciales;143 - Formación de docentes de enseñanza infantil;31.710
Total Públicas Presenciales;144 - Formación de docentes de enseñanza primaria;48.446
Total Públicas Presenciales;145 - Formación de docentes de enseñanza de temas especiales;5.396
Total Públicas Presenciales;146 - Formación de docentes de formación profesional;9.033
Total Públicas Presenciales;2 - Artes y humanidades;109.262
Total Públicas Presenciales;210 - Artes;374
Total Públicas Presenciales;211 - Bellas artes;23.480
Total Públicas Presenciales;212 - Música y artes del espectáculo;1.963
Total Públicas Presenciales;213 - Técnicas audiovisuales y medios de comunicación;11.930
Total Públicas Presenciales;214 - Diseño;2.441
