Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Ambos Sexos;1.390.234
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Mujeres;755.243
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Hombres;634.991
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Ambos Sexos;1.330.407
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Mujeres;717.057
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Hombres;613.350
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Ambos Sexos;59.827
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Mujeres;38.186
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Hombres;21.641
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Ambos Sexos;1.234.135
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Mujeres;671.723
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Hombres;562.412
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Ambos Sexos;1.174.710
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Mujeres;633.730
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Hombres;540.980
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Ambos Sexos;59.425
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Mujeres;37.993
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Hombres;21.432
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Ambos Sexos;156.099
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Mujeres;83.520
