Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Ambos Sexos;1.425.018
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Mujeres;774.553
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Hombres;650.465
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Ambos Sexos;1.363.022
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Mujeres;736.356
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Hombres;626.666
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Ambos Sexos;61.996
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Mujeres;38.197
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Hombres;23.799
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Ambos Sexos;1.252.832
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Mujeres;679.498
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Hombres;573.334
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Ambos Sexos;1.192.786
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Mujeres;642.457
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Hombres;550.329
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Ambos Sexos;60.046
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Mujeres;37.041
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Hombres;23.005
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Ambos Sexos;172.186
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Mujeres;95.055
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Hombres;77.131
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros propios;Ambos Sexos;170.236
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros propios;Mujeres;93.899
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros propios;Hombres;76.337
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros adscritos;Ambos Sexos;1.950
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros adscritos;Mujeres;1.156
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros adscritos;Hombres;794
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Total Centros;Ambos Sexos;1.379.002
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Total Centros;Mujeres;746.879
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Total Centros;Hombres;632.123
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Centros propios;Ambos Sexos;1.318.803
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Centros propios;Mujeres;709.797
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Centros propios;Hombres;609.006
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Centros adscritos;Ambos Sexos;60.199
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Centros adscritos;Mujeres;37.082
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Centros adscritos;Hombres;23.117
Total Grado y 1º y 2º Ciclo;España;Universidades públicas;Total Centros;Ambos Sexos;1.211.986
Total Grado y 1º y 2º Ciclo;España;Universidades públicas;Total Centros;Mujeres;654.645
Total Grado y 1º y 2º Ciclo;España;Universidades públicas;Total Centros;Hombres;557.341
Total Grado y 1º y 2º Ciclo;España;Universidades públicas;Centros propios;Ambos Sexos;1.153.552
Total Grado y 1º y 2º Ciclo;España;Universidades públicas;Centros propios;Mujeres;618.641
Total Grado y 1º y 2º Ciclo;España;Universidades públicas;Centros propios;Hombres;534.911
Total Grado y 1º y 2º Ciclo;España;Universidades públicas;Centros adscritos;Ambos Sexos;58.434
Total Grado y 1º y 2º Ciclo;España;Universidades públicas;Centros adscritos;Mujeres;36.004
Total Grado y 1º y 2º Ciclo;España;Universidades públicas;Centros adscritos;Hombres;22.430
Total Grado y 1º y 2º Ciclo;España;Universidades privadas;Total Centros;Ambos Sexos;167.016
Total Grado y 1º y 2º Ciclo;España;Universidades privadas;Total Centros;Mujeres;92.234
Total Grado y 1º y 2º Ciclo;España;Universidades privadas;Total Centros;Hombres;74.782
Total Grado y 1º y 2º Ciclo;España;Universidades privadas;Centros propios;Ambos Sexos;165.251
Total Grado y 1º y 2º Ciclo;España;Universidades privadas;Centros propios;Mujeres;91.156
Total Grado y 1º y 2º Ciclo;España;Universidades privadas;Centros propios;Hombres;74.095
Total Grado y 1º y 2º Ciclo;España;Universidades privadas;Centros adscritos;Ambos Sexos;1.765
Total Grado y 1º y 2º Ciclo;España;Universidades privadas;Centros adscritos;Mujeres;1.078
Total Grado y 1º y 2º Ciclo;España;Universidades privadas;Centros adscritos;Hombres;687
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Total Centros;Ambos Sexos;18.027
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Total Centros;Mujeres;11.276
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Total Centros;Hombres;6.751
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros propios;Ambos Sexos;17.226
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros propios;Mujeres;10.823
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros propios;Hombres;6.403
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros adscritos;Ambos Sexos;801
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros adscritos;Mujeres;453
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros adscritos;Hombres;348
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Total Centros;Ambos Sexos;15.347
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Total Centros;Mujeres;9.909
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Total Centros;Hombres;5.438
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros propios;Ambos Sexos;14.689
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros propios;Mujeres;9.509
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros propios;Hombres;5.180
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros adscritos;Ambos Sexos;658
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros adscritos;Mujeres;400
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros adscritos;Hombres;258
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Total Centros;Ambos Sexos;2.680
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Total Centros;Mujeres;1.367
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Total Centros;Hombres;1.313
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros propios;Ambos Sexos;2.537
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros propios;Mujeres;1.314
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros propios;Hombres;1.223
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros adscritos;Ambos Sexos;143
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Total Centros;Ambos Sexos;4.088
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Total Centros;Mujeres;2.686
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Total Centros;Hombres;1.402
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros propios;Ambos Sexos;3.909
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros propios;Mujeres;2.580
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros propios;Hombres;1.329
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros adscritos;Ambos Sexos;179
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros adscritos;Mujeres;106
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Total Centros;Ambos Sexos;3.394
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Total Centros;Mujeres;2.264
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Total Centros;Hombres;1.130
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros propios;Ambos Sexos;3.226
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros propios;Mujeres;2.166
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros propios;Hombres;1.060
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros adscritos;Ambos Sexos;168
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Total Centros;Ambos Sexos;694
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Total Centros;Mujeres;422
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Total Centros;Hombres;272
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros propios;Ambos Sexos;683
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros propios;Mujeres;414
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros propios;Hombres;269
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Total Centros;Ambos Sexos;1.365
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Total Centros;Mujeres;733
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Total Centros;Hombres;632
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros propios;Ambos Sexos;1.319
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros propios;Mujeres;708
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros propios;Hombres;611
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Total Centros;Ambos Sexos;1.046
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Total Centros;Mujeres;570
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Total Centros;Hombres;476
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros propios;Ambos Sexos;1.004
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros propios;Mujeres;548
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros propios;Hombres;456
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Total Centros;Ambos Sexos;319
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Total Centros;Mujeres;163
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Total Centros;Hombres;156
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros propios;Ambos Sexos;315
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros propios;Mujeres;160
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros propios;Hombres;155
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Total Centros;Ambos Sexos;1.414
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Total Centros;Mujeres;924
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Total Centros;Hombres;490
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros propios;Ambos Sexos;1.341
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros propios;Mujeres;875
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros propios;Hombres;466
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Total Centros;Ambos Sexos;1.205
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Total Centros;Mujeres;796
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Total Centros;Hombres;409
