Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Total Centros;Hombres;7.419
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros propios;Ambos Sexos;18.710
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros propios;Mujeres;11.766
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros propios;Hombres;6.944
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros adscritos;Ambos Sexos;1.020
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros adscritos;Mujeres;545
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Total Universidades;Centros adscritos;Hombres;475
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Total Centros;Ambos Sexos;16.359
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Total Centros;Mujeres;10.659
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Total Centros;Hombres;5.700
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros propios;Ambos Sexos;15.599
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros propios;Mujeres;10.220
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros propios;Hombres;5.379
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros adscritos;Ambos Sexos;760
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros adscritos;Mujeres;439
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades públicas;Centros adscritos;Hombres;321
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Total Centros;Ambos Sexos;3.371
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Total Centros;Mujeres;1.652
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Total Centros;Hombres;1.719
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros propios;Ambos Sexos;3.111
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros propios;Mujeres;1.546
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros propios;Hombres;1.565
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros adscritos;Ambos Sexos;260
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros adscritos;Mujeres;106
Total Grado y 1º y 2º Ciclo;Unión Europea (27);Universidades privadas;Centros adscritos;Hombres;154
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Total Centros;Ambos Sexos;4.259
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Total Centros;Mujeres;2.760
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Total Centros;Hombres;1.499
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros propios;Ambos Sexos;4.068
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros propios;Mujeres;2.646
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros propios;Hombres;1.422
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros adscritos;Ambos Sexos;191
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros adscritos;Mujeres;114
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Total Centros;Ambos Sexos;3.666
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Total Centros;Mujeres;2.434
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Total Centros;Hombres;1.232
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros propios;Ambos Sexos;3.482
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros propios;Mujeres;2.324
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros propios;Hombres;1.158
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros adscritos;Ambos Sexos;184
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros adscritos;Mujeres;110
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Total Centros;Ambos Sexos;593
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Total Centros;Mujeres;326
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Total Centros;Hombres;267
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros propios;Ambos Sexos;586
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros propios;Mujeres;322
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros propios;Hombres;264
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Total Centros;Ambos Sexos;1.342
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Total Centros;Mujeres;760
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Total Centros;Hombres;582
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros propios;Ambos Sexos;1.305
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros propios;Mujeres;738
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros propios;Hombres;567
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Total Centros;Ambos Sexos;998
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Total Centros;Mujeres;578
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Total Centros;Hombres;420
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros propios;Ambos Sexos;965
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros propios;Mujeres;560
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros propios;Hombres;405
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Total Centros;Ambos Sexos;344
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Total Centros;Mujeres;182
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Total Centros;Hombres;162
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros propios;Ambos Sexos;340
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros propios;Mujeres;178
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros propios;Hombres;162
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Total Centros;Ambos Sexos;1.485
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Total Centros;Mujeres;946
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Total Centros;Hombres;539
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros propios;Ambos Sexos;1.415
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros propios;Mujeres;905
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros propios;Hombres;510
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Total Centros;Ambos Sexos;1.287
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Total Centros;Mujeres;828
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Total Centros;Hombres;459
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Centros propios;Ambos Sexos;1.221
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Centros propios;Mujeres;789
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Centros propios;Hombres;432
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Total Centros;Ambos Sexos;198
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Total Centros;Mujeres;118
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Total Centros;Hombres;..
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Centros propios;Ambos Sexos;194
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Centros propios;Mujeres;116
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Centros propios;Hombres;..
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Total Centros;Ambos Sexos;12.903
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Total Centros;Mujeres;7.918
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Total Centros;Hombres;4.985
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Centros propios;Ambos Sexos;12.392
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Centros propios;Mujeres;7.567
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Centros propios;Hombres;4.825
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Centros adscritos;Ambos Sexos;511
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Centros adscritos;Mujeres;351
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Centros adscritos;Hombres;160
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Total Centros;Ambos Sexos;11.978
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Total Centros;Mujeres;7.349
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Total Centros;Hombres;4.629
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Centros propios;Ambos Sexos;11.480
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Centros propios;Mujeres;7.007
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Centros propios;Hombres;4.473
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Centros adscritos;Ambos Sexos;498
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Centros adscritos;Mujeres;342
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades públicas;Centros adscritos;Hombres;156
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Total Centros;Ambos Sexos;925
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Total Centros;Mujeres;569
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Total Centros;Hombres;356
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Centros propios;Ambos Sexos;912
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Centros propios;Mujeres;560
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Centros propios;Hombres;352
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;América del Sur;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Total Centros;Ambos Sexos;4.463
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Total Centros;Mujeres;2.259
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Total Centros;Hombres;2.204
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros propios;Ambos Sexos;4.392
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros propios;Mujeres;2.223
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros propios;Hombres;2.169
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Total Centros;Ambos Sexos;4.333
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Total Centros;Mujeres;2.179
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Total Centros;Hombres;2.154
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros propios;Ambos Sexos;4.263
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros propios;Mujeres;2.144
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros propios;Hombres;2.119
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Total Centros;Ambos Sexos;130
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Total Centros;Mujeres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Total Centros;Hombres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros propios;Ambos Sexos;129
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros propios;Mujeres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros propios;Hombres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Total Centros;Ambos Sexos;1.492
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Total Centros;Mujeres;609
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Total Centros;Hombres;883
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros propios;Ambos Sexos;1.459
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros propios;Mujeres;587
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros propios;Hombres;872
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Total Centros;Ambos Sexos;1.416
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Total Centros;Mujeres;576
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Total Centros;Hombres;840
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Centros propios;Ambos Sexos;1.388
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Centros propios;Mujeres;557
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Centros propios;Hombres;831
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades públicas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Total Centros;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Total Centros;Mujeres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Total Centros;Hombres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Centros propios;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Centros propios;Mujeres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Centros propios;Hombres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Resto de África;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Total Centros;Ambos Sexos;3.348
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Total Centros;Mujeres;1.920
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Total Centros;Hombres;1.428
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Centros propios;Ambos Sexos;3.233
Total Grado y 1º y 2º Ciclo;Asia y Oceanía;Total Universidades;Centros propios;Mujeres;1.855
