Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
Asturias (Principado de);América del Norte;Hombres;1
Asturias (Principado de);América Central;Ambos Sexos;12
Asturias (Principado de);América Central;Mujeres;11
Asturias (Principado de);América Central;Hombres;1
Asturias (Principado de);América del Sur;Ambos Sexos;72
Asturias (Principado de);América del Sur;Mujeres;40
Asturias (Principado de);América del Sur;Hombres;32
Asturias (Principado de);Norte de África;Ambos Sexos;13
Asturias (Principado de);Norte de África;Mujeres;4
Asturias (Principado de);Norte de África;Hombres;9
Asturias (Principado de);Resto de África;Ambos Sexos;16
Asturias (Principado de);Resto de África;Mujeres;11
Asturias (Principado de);Resto de África;Hombres;5
Asturias (Principado de);Asia y Oceanía;Ambos Sexos;11
Asturias (Principado de);Asia y Oceanía;Mujeres;6
Asturias (Principado de);Asia y Oceanía;Hombres;5
Balears (Illes);TOTAL;Ambos Sexos;13.958
Balears (Illes);TOTAL;Mujeres;8.355
Balears (Illes);TOTAL;Hombres;5.603
Balears (Illes);España;Ambos Sexos;13.222
Balears (Illes);España;Mujeres;7.890
Balears (Illes);España;Hombres;5.332
Balears (Illes);Unión Europea (27);Ambos Sexos;283
Balears (Illes);Unión Europea (27);Mujeres;179
Balears (Illes);Unión Europea (27);Hombres;104
Balears (Illes);Resto de Europa;Ambos Sexos;40
Balears (Illes);Resto de Europa;Mujeres;30
Balears (Illes);Resto de Europa;Hombres;10
Balears (Illes);América del Norte;Ambos Sexos;7
Balears (Illes);América del Norte;Mujeres;5
Balears (Illes);América del Norte;Hombres;2
Balears (Illes);América Central;Ambos Sexos;28
Balears (Illes);América Central;Mujeres;19
Balears (Illes);América Central;Hombres;9
Balears (Illes);América del Sur;Ambos Sexos;322
Balears (Illes);América del Sur;Mujeres;202
Balears (Illes);América del Sur;Hombres;120
Balears (Illes);Norte de África;Ambos Sexos;30
Balears (Illes);Norte de África;Mujeres;17
Balears (Illes);Norte de África;Hombres;13
Balears (Illes);Resto de África;Ambos Sexos;12
Balears (Illes);Resto de África;Mujeres;6
Balears (Illes);Resto de África;Hombres;6
Balears (Illes);Asia y Oceanía;Ambos Sexos;14
Balears (Illes);Asia y Oceanía;Mujeres;7
Balears (Illes);Asia y Oceanía;Hombres;7
Canarias;TOTAL;Ambos Sexos;37.651
Canarias;TOTAL;Mujeres;21.051
Canarias;TOTAL;Hombres;16.600
Canarias;España;Ambos Sexos;35.900
Canarias;España;Mujeres;19.995
Canarias;España;Hombres;15.905
Canarias;Unión Europea (27);Ambos Sexos;484
Canarias;Unión Europea (27);Mujeres;311
Canarias;Unión Europea (27);Hombres;173
Canarias;Resto de Europa;Ambos Sexos;60
Canarias;Resto de Europa;Mujeres;35
Canarias;Resto de Europa;Hombres;25
Canarias;América del Norte;Ambos Sexos;19
Canarias;América del Norte;Mujeres;11
Canarias;América del Norte;Hombres;8
Canarias;América Central;Ambos Sexos;149
Canarias;América Central;Mujeres;97
Canarias;América Central;Hombres;52
Canarias;América del Sur;Ambos Sexos;768
Canarias;América del Sur;Mujeres;463
Canarias;América del Sur;Hombres;305
Canarias;Norte de África;Ambos Sexos;57
Canarias;Norte de África;Mujeres;25
Canarias;Norte de África;Hombres;32
Canarias;Resto de África;Ambos Sexos;148
Canarias;Resto de África;Mujeres;83
Canarias;Resto de África;Hombres;65
Canarias;Asia y Oceanía;Ambos Sexos;66
Canarias;Asia y Oceanía;Mujeres;31
Canarias;Asia y Oceanía;Hombres;35
