Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
TOTAL;TOTAL;Ambos Sexos;1.456.783
TOTAL;TOTAL;Mujeres;787.491
TOTAL;TOTAL;Hombres;669.292
TOTAL;España;Ambos Sexos;1.407.761
TOTAL;España;Mujeres;758.008
TOTAL;España;Hombres;649.753
TOTAL;Unión Europea (27);Ambos Sexos;19.730
TOTAL;Unión Europea (27);Mujeres;12.311
TOTAL;Unión Europea (27);Hombres;7.419
TOTAL;Resto de Europa;Ambos Sexos;4.259
TOTAL;Resto de Europa;Mujeres;2.760
TOTAL;Resto de Europa;Hombres;1.499
TOTAL;América del Norte;Ambos Sexos;1.342
TOTAL;América del Norte;Mujeres;760
TOTAL;América del Norte;Hombres;582
TOTAL;América Central;Ambos Sexos;1.485
TOTAL;América Central;Mujeres;946
TOTAL;América Central;Hombres;539
TOTAL;América del Sur;Ambos Sexos;12.903
TOTAL;América del Sur;Mujeres;7.918
TOTAL;América del Sur;Hombres;4.985
TOTAL;Norte de África;Ambos Sexos;4.463
TOTAL;Norte de África;Mujeres;2.259
TOTAL;Norte de África;Hombres;2.204
TOTAL;Resto de África;Ambos Sexos;1.492
TOTAL;Resto de África;Mujeres;609
TOTAL;Resto de África;Hombres;883
TOTAL;Asia y Oceanía;Ambos Sexos;3.348
TOTAL;Asia y Oceanía;Mujeres;1.920
TOTAL;Asia y Oceanía;Hombres;1.428
Total Universidades Presenciales;TOTAL;Ambos Sexos;1.244.053
Total Universidades Presenciales;TOTAL;Mujeres;670.713
Total Universidades Presenciales;TOTAL;Hombres;573.340
Total Universidades Presenciales;España;Ambos Sexos;1.200.691
Total Universidades Presenciales;España;Mujeres;645.040
Total Universidades Presenciales;España;Hombres;555.651
Total Universidades Presenciales;Unión Europea (27);Ambos Sexos;17.258
Total Universidades Presenciales;Unión Europea (27);Mujeres;10.528
Total Universidades Presenciales;Unión Europea (27);Hombres;6.730
Total Universidades Presenciales;Resto de Europa;Ambos Sexos;3.655
Total Universidades Presenciales;Resto de Europa;Mujeres;2.327
Total Universidades Presenciales;Resto de Europa;Hombres;1.328
Total Universidades Presenciales;América del Norte;Ambos Sexos;1.212
Total Universidades Presenciales;América del Norte;Mujeres;666
Total Universidades Presenciales;América del Norte;Hombres;546
Total Universidades Presenciales;América Central;Ambos Sexos;1.316
Total Universidades Presenciales;América Central;Mujeres;826
Total Universidades Presenciales;América Central;Hombres;490
Total Universidades Presenciales;América del Sur;Ambos Sexos;11.250
Total Universidades Presenciales;América del Sur;Mujeres;6.785
Total Universidades Presenciales;América del Sur;Hombres;4.465
Total Universidades Presenciales;Norte de África;Ambos Sexos;4.281
Total Universidades Presenciales;Norte de África;Mujeres;2.165
Total Universidades Presenciales;Norte de África;Hombres;2.116
Total Universidades Presenciales;Resto de África;Ambos Sexos;1.130
Total Universidades Presenciales;Resto de África;Mujeres;509
Total Universidades Presenciales;Resto de África;Hombres;621
Total Universidades Presenciales;Asia y Oceanía;Ambos Sexos;3.260
Total Universidades Presenciales;Asia y Oceanía;Mujeres;1.867
Total Universidades Presenciales;Asia y Oceanía;Hombres;1.393
Andalucía;TOTAL;Ambos Sexos;238.550
Andalucía;TOTAL;Mujeres;130.785
Andalucía;TOTAL;Hombres;107.765
Andalucía;España;Ambos Sexos;232.428
Andalucía;España;Mujeres;127.125
Andalucía;España;Hombres;105.303
Andalucía;Unión Europea (27);Ambos Sexos;1.832
Andalucía;Unión Europea (27);Mujeres;1.241
Andalucía;Unión Europea (27);Hombres;591
Andalucía;Resto de Europa;Ambos Sexos;421
Andalucía;Resto de Europa;Mujeres;303
Andalucía;Resto de Europa;Hombres;118
Andalucía;América del Norte;Ambos Sexos;142
Andalucía;América del Norte;Mujeres;104
Andalucía;América del Norte;Hombres;..
Andalucía;América Central;Ambos Sexos;103
Andalucía;América Central;Mujeres;..
Andalucía;América Central;Hombres;..
Andalucía;América del Sur;Ambos Sexos;1.023
Andalucía;América del Sur;Mujeres;659
Andalucía;América del Sur;Hombres;364
Andalucía;Norte de África;Ambos Sexos;2.022
Andalucía;Norte de África;Mujeres;989
Andalucía;Norte de África;Hombres;1.033
Andalucía;Resto de África;Ambos Sexos;139
Andalucía;Resto de África;Mujeres;..
Andalucía;Resto de África;Hombres;..
Andalucía;Asia y Oceanía;Ambos Sexos;440
Andalucía;Asia y Oceanía;Mujeres;249
Andalucía;Asia y Oceanía;Hombres;191
