Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
TOTAL;TOTAL;Ambos Sexos;1.390.234
TOTAL;TOTAL;Mujeres;755.243
TOTAL;TOTAL;Hombres;634.991
TOTAL;España;Ambos Sexos;1.348.372
TOTAL;España;Mujeres;730.274
TOTAL;España;Hombres;618.098
TOTAL;Unión Europea (27);Ambos Sexos;16.701
TOTAL;Unión Europea (27);Mujeres;10.365
TOTAL;Unión Europea (27);Hombres;6.336
TOTAL;Resto de Europa;Ambos Sexos;3.660
TOTAL;Resto de Europa;Mujeres;2.383
TOTAL;Resto de Europa;Hombres;1.277
TOTAL;América del Norte;Ambos Sexos;1.326
TOTAL;América del Norte;Mujeres;696
TOTAL;América del Norte;Hombres;630
TOTAL;América Central;Ambos Sexos;1.255
TOTAL;América Central;Mujeres;822
TOTAL;América Central;Hombres;433
TOTAL;América del Sur;Ambos Sexos;11.453
TOTAL;América del Sur;Mujeres;6.960
TOTAL;América del Sur;Hombres;4.493
TOTAL;Norte de África;Ambos Sexos;4.361
TOTAL;Norte de África;Mujeres;2.152
TOTAL;Norte de África;Hombres;2.209
TOTAL;Resto de África;Ambos Sexos;1.106
TOTAL;Resto de África;Mujeres;503
TOTAL;Resto de África;Hombres;603
TOTAL;Asia y Oceanía;Ambos Sexos;2.000
TOTAL;Asia y Oceanía;Mujeres;1.088
TOTAL;Asia y Oceanía;Hombres;912
Total Universidades Presenciales;TOTAL;Ambos Sexos;1.201.399
Total Universidades Presenciales;TOTAL;Mujeres;655.688
Total Universidades Presenciales;TOTAL;Hombres;545.711
Total Universidades Presenciales;España;Ambos Sexos;1.164.517
Total Universidades Presenciales;España;Mujeres;634.024
Total Universidades Presenciales;España;Hombres;530.493
Total Universidades Presenciales;Unión Europea (27);Ambos Sexos;14.579
Total Universidades Presenciales;Unión Europea (27);Mujeres;8.877
Total Universidades Presenciales;Unión Europea (27);Hombres;5.702
Total Universidades Presenciales;Resto de Europa;Ambos Sexos;3.082
Total Universidades Presenciales;Resto de Europa;Mujeres;1.970
Total Universidades Presenciales;Resto de Europa;Hombres;1.112
Total Universidades Presenciales;América del Norte;Ambos Sexos;1.216
Total Universidades Presenciales;América del Norte;Mujeres;627
Total Universidades Presenciales;América del Norte;Hombres;589
Total Universidades Presenciales;América Central;Ambos Sexos;1.091
Total Universidades Presenciales;América Central;Mujeres;705
Total Universidades Presenciales;América Central;Hombres;386
Total Universidades Presenciales;América del Sur;Ambos Sexos;9.987
Total Universidades Presenciales;América del Sur;Mujeres;5.978
Total Universidades Presenciales;América del Sur;Hombres;4.009
Total Universidades Presenciales;Norte de África;Ambos Sexos;4.139
Total Universidades Presenciales;Norte de África;Mujeres;2.039
Total Universidades Presenciales;Norte de África;Hombres;2.100
Total Universidades Presenciales;Resto de África;Ambos Sexos;867
Total Universidades Presenciales;Resto de África;Mujeres;425
Total Universidades Presenciales;Resto de África;Hombres;442
Total Universidades Presenciales;Asia y Oceanía;Ambos Sexos;1.921
Total Universidades Presenciales;Asia y Oceanía;Mujeres;1.043
Total Universidades Presenciales;Asia y Oceanía;Hombres;878
Andalucía;TOTAL;Ambos Sexos;224.389
Andalucía;TOTAL;Mujeres;124.342
Andalucía;TOTAL;Hombres;100.047
Andalucía;España;Ambos Sexos;218.866
Andalucía;España;Mujeres;121.068
Andalucía;España;Hombres;97.798
Andalucía;Unión Europea (27);Ambos Sexos;1.548
Andalucía;Unión Europea (27);Mujeres;1.054
Andalucía;Unión Europea (27);Hombres;494
Andalucía;Resto de Europa;Ambos Sexos;287
Andalucía;Resto de Europa;Mujeres;203
Andalucía;Resto de Europa;Hombres;..
Andalucía;América del Norte;Ambos Sexos;134
Andalucía;América del Norte;Mujeres;100
Andalucía;América del Norte;Hombres;..
Andalucía;América Central;Ambos Sexos;..
Andalucía;América Central;Mujeres;..
Andalucía;América Central;Hombres;..
Andalucía;América del Sur;Ambos Sexos;913
Andalucía;América del Sur;Mujeres;588
Andalucía;América del Sur;Hombres;325
Andalucía;Norte de África;Ambos Sexos;2.196
Andalucía;Norte de África;Mujeres;1.087
Andalucía;Norte de África;Hombres;1.109
Andalucía;Resto de África;Ambos Sexos;..
Andalucía;Resto de África;Mujeres;..
Andalucía;Resto de África;Hombres;..
Andalucía;Asia y Oceanía;Ambos Sexos;285
Andalucía;Asia y Oceanía;Mujeres;147
Andalucía;Asia y Oceanía;Hombres;138
Aragón;TOTAL;Ambos Sexos;30.921
Aragón;TOTAL;Mujeres;17.062
Aragón;TOTAL;Hombres;13.859
Aragón;España;Ambos Sexos;30.470
Aragón;España;Mujeres;16.752
Aragón;España;Hombres;13.718
Aragón;Unión Europea (27);Ambos Sexos;218
Aragón;Unión Europea (27);Mujeres;157
Aragón;Unión Europea (27);Hombres;..
Aragón;Resto de Europa;Ambos Sexos;..
Aragón;Resto de Europa;Mujeres;..
Aragón;Resto de Europa;Hombres;.
Aragón;América del Norte;Ambos Sexos;.
Aragón;América del Norte;Mujeres;.
Aragón;América del Norte;Hombres;.
Aragón;América Central;Ambos Sexos;..
Aragón;América Central;Mujeres;..
Aragón;América Central;Hombres;.
Aragón;América del Sur;Ambos Sexos;100
Aragón;América del Sur;Mujeres;..
Aragón;América del Sur;Hombres;..
Aragón;Norte de África;Ambos Sexos;..
Aragón;Norte de África;Mujeres;..
Aragón;Norte de África;Hombres;..
Aragón;Resto de África;Ambos Sexos;..
Aragón;Resto de África;Mujeres;.
Aragón;Resto de África;Hombres;..
Aragón;Asia y Oceanía;Ambos Sexos;..
Aragón;Asia y Oceanía;Mujeres;..
Aragón;Asia y Oceanía;Hombres;.
Asturias (Principado de);TOTAL;Ambos Sexos;24.571
Asturias (Principado de);TOTAL;Mujeres;13.474
Asturias (Principado de);TOTAL;Hombres;11.097
Asturias (Principado de);España;Ambos Sexos;24.338
Asturias (Principado de);España;Mujeres;13.340
Asturias (Principado de);España;Hombres;10.998
Asturias (Principado de);Unión Europea (27);Ambos Sexos;..
