Sexo;Universidad;Ámbito de estudio ISCED 1999;Total
Ambos Sexos;Total Universidades Públicas;851 - Control y tecnología medioambiental;886
Ambos Sexos;Total Universidades Públicas;861 - Protección de la propiedad y las personas;331
Ambos Sexos;Total Universidades Públicas;862 - Salud y seguridad en el trabajo;680
Ambos Sexos;Total Universidades Públicas;863 - Enseñanza militar;142
Ambos Sexos;Total Universidades Públicas Presenciales;Total Ámbito;1.037.771
Ambos Sexos;Total Universidades Públicas Presenciales;Total Educación;116.347
Ambos Sexos;Total Universidades Públicas Presenciales;140 - Formación de personal docente y ciencias de la educación;10.943
Ambos Sexos;Total Universidades Públicas Presenciales;142 - Ciencias de la educación;9.862
Ambos Sexos;Total Universidades Públicas Presenciales;143 - Formación de docentes de enseñanza infantil;37.017
Ambos Sexos;Total Universidades Públicas Presenciales;144 - Formación de docentes de enseñanza primaria;57.898
Ambos Sexos;Total Universidades Públicas Presenciales;145 - Formación de docentes de enseñanza de temas especiales;273
Ambos Sexos;Total Universidades Públicas Presenciales;146 - Formación de docentes de formación profesional;354
Ambos Sexos;Total Universidades Públicas Presenciales;Total Artes y humanidades;105.034
Ambos Sexos;Total Universidades Públicas Presenciales;211 - Bellas artes;20.202
Ambos Sexos;Total Universidades Públicas Presenciales;212 - Música y artes del espectáculo;1.784
Ambos Sexos;Total Universidades Públicas Presenciales;213 - Técnicas audiovisuales y medios de comunicación;13.164
Ambos Sexos;Total Universidades Públicas Presenciales;214 - Diseño;2.279
Ambos Sexos;Total Universidades Públicas Presenciales;220 - Humanidades;4.103
Ambos Sexos;Total Universidades Públicas Presenciales;222 - Lenguas extranjeras;33.568
Ambos Sexos;Total Universidades Públicas Presenciales;223 - Lenguas y dialectos españoles;9.945
Ambos Sexos;Total Universidades Públicas Presenciales;225 - Historia y arqueología;15.534
Ambos Sexos;Total Universidades Públicas Presenciales;226 - Filosofía y ética;4.455
Ambos Sexos;Total Universidades Públicas Presenciales;Total Ciencias sociales, educación comercial y derecho;311.640
Ambos Sexos;Total Universidades Públicas Presenciales;311 - Psicología;25.537
Ambos Sexos;Total Universidades Públicas Presenciales;312 - Sociología, antropología y geografía social y cultural;16.381
Ambos Sexos;Total Universidades Públicas Presenciales;313 - Ciencias políticas;8.427
Ambos Sexos;Total Universidades Públicas Presenciales;314 - Economía;22.760
Ambos Sexos;Total Universidades Públicas Presenciales;321 - Periodismo;15.433
Ambos Sexos;Total Universidades Públicas Presenciales;322 - Biblioteconomía, documentación y archivos;1.971
Ambos Sexos;Total Universidades Públicas Presenciales;342 - Marketing y publicidad;18.751
Ambos Sexos;Total Universidades Públicas Presenciales;343 - Finanzas, banca y seguros;10.638
Ambos Sexos;Total Universidades Públicas Presenciales;344 - Contabilidad y gestión de impuestos;1.845
Ambos Sexos;Total Universidades Públicas Presenciales;345 - Administración y gestión de empresas;119.722
Ambos Sexos;Total Universidades Públicas Presenciales;380 - Derecho;70.175
Ambos Sexos;Total Universidades Públicas Presenciales;Total Ciencias;105.438
Ambos Sexos;Total Universidades Públicas Presenciales;421 - Biología y Bioquímica;21.739
