Tipo de universidad;Comunidad Autónoma;Nacionalidad (regiones);Sexo;Total
Total Universidades;Asturias (Principado de);Asia y Oceanía;Hombres;5
Total Universidades;Balears (Illes);Total;Ambos sexos;12.199
Total Universidades;Balears (Illes);Total;Mujeres;7.156
Total Universidades;Balears (Illes);Total;Hombres;5.043
Total Universidades;Balears (Illes);España;Ambos sexos;11.637
Total Universidades;Balears (Illes);España;Mujeres;6.817
Total Universidades;Balears (Illes);España;Hombres;4.820
Total Universidades;Balears (Illes);Unión Europea (28);Ambos sexos;269
Total Universidades;Balears (Illes);Unión Europea (28);Mujeres;168
Total Universidades;Balears (Illes);Unión Europea (28);Hombres;101
Total Universidades;Balears (Illes);Resto de Europa;Ambos sexos;43
Total Universidades;Balears (Illes);Resto de Europa;Mujeres;23
Total Universidades;Balears (Illes);Resto de Europa;Hombres;20
Total Universidades;Balears (Illes);EE.UU. y Canadá;Ambos sexos;6
Total Universidades;Balears (Illes);EE.UU. y Canadá;Mujeres;1
Total Universidades;Balears (Illes);EE.UU. y Canadá;Hombres;5
Total Universidades;Balears (Illes);América Latina y Caribe;Ambos sexos;180
Total Universidades;Balears (Illes);América Latina y Caribe;Mujeres;118
Total Universidades;Balears (Illes);América Latina y Caribe;Hombres;62
Total Universidades;Balears (Illes);Norte de África;Ambos sexos;29
Total Universidades;Balears (Illes);Norte de África;Mujeres;12
Total Universidades;Balears (Illes);Norte de África;Hombres;17
Total Universidades;Balears (Illes);Resto de África;Ambos sexos;12
Total Universidades;Balears (Illes);Resto de África;Mujeres;5
Total Universidades;Balears (Illes);Resto de África;Hombres;7
Total Universidades;Balears (Illes);Asia y Oceanía;Ambos sexos;23
Total Universidades;Balears (Illes);Asia y Oceanía;Mujeres;12
Total Universidades;Balears (Illes);Asia y Oceanía;Hombres;11
Total Universidades;Canarias;Total;Ambos sexos;38.486
Total Universidades;Canarias;Total;Mujeres;22.036
Total Universidades;Canarias;Total;Hombres;16.450
Total Universidades;Canarias;España;Ambos sexos;36.848
Total Universidades;Canarias;España;Mujeres;21.053
Total Universidades;Canarias;España;Hombres;15.795
Total Universidades;Canarias;Unión Europea (28);Ambos sexos;507
Total Universidades;Canarias;Unión Europea (28);Mujeres;311
Total Universidades;Canarias;Unión Europea (28);Hombres;196
Total Universidades;Canarias;Resto de Europa;Ambos sexos;73
Total Universidades;Canarias;Resto de Europa;Mujeres;43
Total Universidades;Canarias;Resto de Europa;Hombres;30
Total Universidades;Canarias;EE.UU. y Canadá;Ambos sexos;8
Total Universidades;Canarias;EE.UU. y Canadá;Mujeres;3
Total Universidades;Canarias;EE.UU. y Canadá;Hombres;5
Total Universidades;Canarias;América Latina y Caribe;Ambos sexos;802
Total Universidades;Canarias;América Latina y Caribe;Mujeres;496
Total Universidades;Canarias;América Latina y Caribe;Hombres;306
Total Universidades;Canarias;Norte de África;Ambos sexos;77
Total Universidades;Canarias;Norte de África;Mujeres;37
Total Universidades;Canarias;Norte de África;Hombres;40
Total Universidades;Canarias;Resto de África;Ambos sexos;113
Total Universidades;Canarias;Resto de África;Mujeres;63
Total Universidades;Canarias;Resto de África;Hombres;50
Total Universidades;Canarias;Asia y Oceanía;Ambos sexos;58
Total Universidades;Canarias;Asia y Oceanía;Mujeres;30
Total Universidades;Canarias;Asia y Oceanía;Hombres;28
Total Universidades;Cantabria;Total;Ambos sexos;10.015
Total Universidades;Cantabria;Total;Mujeres;5.106
Total Universidades;Cantabria;Total;Hombres;4.909
Total Universidades;Cantabria;España;Ambos sexos;9.768
Total Universidades;Cantabria;España;Mujeres;4.957
Total Universidades;Cantabria;España;Hombres;4.811
Total Universidades;Cantabria;Unión Europea (28);Ambos sexos;79
Total Universidades;Cantabria;Unión Europea (28);Mujeres;49
Total Universidades;Cantabria;Unión Europea (28);Hombres;30
Total Universidades;Cantabria;Resto de Europa;Ambos sexos;64
Total Universidades;Cantabria;Resto de Europa;Mujeres;45
Total Universidades;Cantabria;Resto de Europa;Hombres;19
Total Universidades;Cantabria;EE.UU. y Canadá;Ambos sexos;1
Total Universidades;Cantabria;EE.UU. y Canadá;Mujeres;1
Total Universidades;Cantabria;EE.UU. y Canadá;Hombres;..
Total Universidades;Cantabria;América Latina y Caribe;Ambos sexos;74
Total Universidades;Cantabria;América Latina y Caribe;Mujeres;38
Total Universidades;Cantabria;América Latina y Caribe;Hombres;36
Total Universidades;Cantabria;Norte de África;Ambos sexos;12
Total Universidades;Cantabria;Norte de África;Mujeres;6
Total Universidades;Cantabria;Norte de África;Hombres;6
Total Universidades;Cantabria;Resto de África;Ambos sexos;10
Total Universidades;Cantabria;Resto de África;Mujeres;6
Total Universidades;Cantabria;Resto de África;Hombres;4
Total Universidades;Cantabria;Asia y Oceanía;Ambos sexos;7
Total Universidades;Cantabria;Asia y Oceanía;Mujeres;4
Total Universidades;Cantabria;Asia y Oceanía;Hombres;3
Total Universidades;Castilla - La Mancha;Total;Ambos sexos;24.645
Total Universidades;Castilla - La Mancha;Total;Mujeres;13.641
Total Universidades;Castilla - La Mancha;Total;Hombres;11.004
Total Universidades;Castilla - La Mancha;España;Ambos sexos;24.156
Total Universidades;Castilla - La Mancha;España;Mujeres;13.344
Total Universidades;Castilla - La Mancha;España;Hombres;10.812
Total Universidades;Castilla - La Mancha;Unión Europea (28);Ambos sexos;200
Total Universidades;Castilla - La Mancha;Unión Europea (28);Mujeres;146
Total Universidades;Castilla - La Mancha;Unión Europea (28);Hombres;54
Total Universidades;Castilla - La Mancha;Resto de Europa;Ambos sexos;27
Total Universidades;Castilla - La Mancha;Resto de Europa;Mujeres;22
Total Universidades;Castilla - La Mancha;Resto de Europa;Hombres;5
Total Universidades;Castilla - La Mancha;EE.UU. y Canadá;Ambos sexos;3
Total Universidades;Castilla - La Mancha;EE.UU. y Canadá;Mujeres;1
Total Universidades;Castilla - La Mancha;EE.UU. y Canadá;Hombres;2
Total Universidades;Castilla - La Mancha;América Latina y Caribe;Ambos sexos;92
Total Universidades;Castilla - La Mancha;América Latina y Caribe;Mujeres;57
Total Universidades;Castilla - La Mancha;América Latina y Caribe;Hombres;35
Total Universidades;Castilla - La Mancha;Norte de África;Ambos sexos;44
Total Universidades;Castilla - La Mancha;Norte de África;Mujeres;27
Total Universidades;Castilla - La Mancha;Norte de África;Hombres;17
Total Universidades;Castilla - La Mancha;Resto de África;Ambos sexos;37
Total Universidades;Castilla - La Mancha;Resto de África;Mujeres;11
Total Universidades;Castilla - La Mancha;Resto de África;Hombres;26
Total Universidades;Castilla - La Mancha;Asia y Oceanía;Ambos sexos;86
Total Universidades;Castilla - La Mancha;Asia y Oceanía;Mujeres;33
Total Universidades;Castilla - La Mancha;Asia y Oceanía;Hombres;53
Total Universidades;Castilla y León;Total;Ambos sexos;77.826
Total Universidades;Castilla y León;Total;Mujeres;42.504
Total Universidades;Castilla y León;Total;Hombres;35.322
Total Universidades;Castilla y León;España;Ambos sexos;75.616
Total Universidades;Castilla y León;España;Mujeres;41.286
Total Universidades;Castilla y León;España;Hombres;34.330
Total Universidades;Castilla y León;Unión Europea (28);Ambos sexos;1.053
Total Universidades;Castilla y León;Unión Europea (28);Mujeres;601
Total Universidades;Castilla y León;Unión Europea (28);Hombres;452
Total Universidades;Castilla y León;Resto de Europa;Ambos sexos;151
Total Universidades;Castilla y León;Resto de Europa;Mujeres;86
Total Universidades;Castilla y León;Resto de Europa;Hombres;65
Total Universidades;Castilla y León;EE.UU. y Canadá;Ambos sexos;28
Total Universidades;Castilla y León;EE.UU. y Canadá;Mujeres;11
Total Universidades;Castilla y León;EE.UU. y Canadá;Hombres;17
Total Universidades;Castilla y León;América Latina y Caribe;Ambos sexos;421
Total Universidades;Castilla y León;América Latina y Caribe;Mujeres;218
Total Universidades;Castilla y León;América Latina y Caribe;Hombres;203
Total Universidades;Castilla y León;Norte de África;Ambos sexos;144
Total Universidades;Castilla y León;Norte de África;Mujeres;76
Total Universidades;Castilla y León;Norte de África;Hombres;68
Total Universidades;Castilla y León;Resto de África;Ambos sexos;87
Total Universidades;Castilla y León;Resto de África;Mujeres;42
Total Universidades;Castilla y León;Resto de África;Hombres;45
Total Universidades;Castilla y León;Asia y Oceanía;Ambos sexos;326
Total Universidades;Castilla y León;Asia y Oceanía;Mujeres;184
Total Universidades;Castilla y León;Asia y Oceanía;Hombres;142
Total Universidades;Cataluña;Total;Ambos sexos;210.895
Total Universidades;Cataluña;Total;Mujeres;112.665
Total Universidades;Cataluña;Total;Hombres;98.230
Total Universidades;Cataluña;España;Ambos sexos;200.290
Total Universidades;Cataluña;España;Mujeres;106.441
Total Universidades;Cataluña;España;Hombres;93.849
Total Universidades;Cataluña;Unión Europea (28);Ambos sexos;4.324
Total Universidades;Cataluña;Unión Europea (28);Mujeres;2.524
Total Universidades;Cataluña;Unión Europea (28);Hombres;1.800
Total Universidades;Cataluña;Resto de Europa;Ambos sexos;1.706
