Tipo de universidad;Comunidad Autónoma;Nacionalidad (regiones);Sexo;Total
Universidades Públicas;Castilla - La Mancha;Asia y Oceanía;Mujeres;33
Universidades Públicas;Castilla - La Mancha;Asia y Oceanía;Hombres;53
Universidades Públicas;Castilla y León;Total;Ambos sexos;65.662
Universidades Públicas;Castilla y León;Total;Mujeres;36.113
Universidades Públicas;Castilla y León;Total;Hombres;29.549
Universidades Públicas;Castilla y León;España;Ambos sexos;64.152
Universidades Públicas;Castilla y León;España;Mujeres;35.212
Universidades Públicas;Castilla y León;España;Hombres;28.940
Universidades Públicas;Castilla y León;Unión Europea (28);Ambos sexos;644
Universidades Públicas;Castilla y León;Unión Europea (28);Mujeres;418
Universidades Públicas;Castilla y León;Unión Europea (28);Hombres;226
Universidades Públicas;Castilla y León;Resto de Europa;Ambos sexos;72
Universidades Públicas;Castilla y León;Resto de Europa;Mujeres;53
Universidades Públicas;Castilla y León;Resto de Europa;Hombres;19
Universidades Públicas;Castilla y León;EE.UU. y Canadá;Ambos sexos;8
Universidades Públicas;Castilla y León;EE.UU. y Canadá;Mujeres;4
Universidades Públicas;Castilla y León;EE.UU. y Canadá;Hombres;4
Universidades Públicas;Castilla y León;América Latina y Caribe;Ambos sexos;334
Universidades Públicas;Castilla y León;América Latina y Caribe;Mujeres;175
Universidades Públicas;Castilla y León;América Latina y Caribe;Hombres;159
Universidades Públicas;Castilla y León;Norte de África;Ambos sexos;97
Universidades Públicas;Castilla y León;Norte de África;Mujeres;52
Universidades Públicas;Castilla y León;Norte de África;Hombres;45
Universidades Públicas;Castilla y León;Resto de África;Ambos sexos;80
Universidades Públicas;Castilla y León;Resto de África;Mujeres;38
Universidades Públicas;Castilla y León;Resto de África;Hombres;42
Universidades Públicas;Castilla y León;Asia y Oceanía;Ambos sexos;275
Universidades Públicas;Castilla y León;Asia y Oceanía;Mujeres;161
Universidades Públicas;Castilla y León;Asia y Oceanía;Hombres;114
Universidades Públicas;Cataluña;Total;Ambos sexos;154.638
Universidades Públicas;Cataluña;Total;Mujeres;82.365
Universidades Públicas;Cataluña;Total;Hombres;72.273
Universidades Públicas;Cataluña;España;Ambos sexos;146.105
Universidades Públicas;Cataluña;España;Mujeres;77.307
Universidades Públicas;Cataluña;España;Hombres;68.798
Universidades Públicas;Cataluña;Unión Europea (28);Ambos sexos;3.228
Universidades Públicas;Cataluña;Unión Europea (28);Mujeres;1.944
Universidades Públicas;Cataluña;Unión Europea (28);Hombres;1.284
Universidades Públicas;Cataluña;Resto de Europa;Ambos sexos;1.260
Universidades Públicas;Cataluña;Resto de Europa;Mujeres;747
Universidades Públicas;Cataluña;Resto de Europa;Hombres;513
Universidades Públicas;Cataluña;EE.UU. y Canadá;Ambos sexos;33
Universidades Públicas;Cataluña;EE.UU. y Canadá;Mujeres;19
Universidades Públicas;Cataluña;EE.UU. y Canadá;Hombres;14
Universidades Públicas;Cataluña;América Latina y Caribe;Ambos sexos;2.400
Universidades Públicas;Cataluña;América Latina y Caribe;Mujeres;1.485
Universidades Públicas;Cataluña;América Latina y Caribe;Hombres;915
Universidades Públicas;Cataluña;Norte de África;Ambos sexos;684
Universidades Públicas;Cataluña;Norte de África;Mujeres;383
Universidades Públicas;Cataluña;Norte de África;Hombres;301
Universidades Públicas;Cataluña;Resto de África;Ambos sexos;138
Universidades Públicas;Cataluña;Resto de África;Mujeres;65
Universidades Públicas;Cataluña;Resto de África;Hombres;73
Universidades Públicas;Cataluña;Asia y Oceanía;Ambos sexos;790
Universidades Públicas;Cataluña;Asia y Oceanía;Mujeres;415
Universidades Públicas;Cataluña;Asia y Oceanía;Hombres;375
Universidades Públicas;Comunitat Valenciana;Total;Ambos sexos;115.916
Universidades Públicas;Comunitat Valenciana;Total;Mujeres;60.643
Universidades Públicas;Comunitat Valenciana;Total;Hombres;55.273
Universidades Públicas;Comunitat Valenciana;España;Ambos sexos;109.790
Universidades Públicas;Comunitat Valenciana;España;Mujeres;57.031
Universidades Públicas;Comunitat Valenciana;España;Hombres;52.759
Universidades Públicas;Comunitat Valenciana;Unión Europea (28);Ambos sexos;3.055
Universidades Públicas;Comunitat Valenciana;Unión Europea (28);Mujeres;1.852
Universidades Públicas;Comunitat Valenciana;Unión Europea (28);Hombres;1.203
Universidades Públicas;Comunitat Valenciana;Resto de Europa;Ambos sexos;714
Universidades Públicas;Comunitat Valenciana;Resto de Europa;Mujeres;453
Universidades Públicas;Comunitat Valenciana;Resto de Europa;Hombres;261
Universidades Públicas;Comunitat Valenciana;EE.UU. y Canadá;Ambos sexos;51
Universidades Públicas;Comunitat Valenciana;EE.UU. y Canadá;Mujeres;20
Universidades Públicas;Comunitat Valenciana;EE.UU. y Canadá;Hombres;31
Universidades Públicas;Comunitat Valenciana;América Latina y Caribe;Ambos sexos;1.330
Universidades Públicas;Comunitat Valenciana;América Latina y Caribe;Mujeres;750
Universidades Públicas;Comunitat Valenciana;América Latina y Caribe;Hombres;580
Universidades Públicas;Comunitat Valenciana;Norte de África;Ambos sexos;510
Universidades Públicas;Comunitat Valenciana;Norte de África;Mujeres;282
Universidades Públicas;Comunitat Valenciana;Norte de África;Hombres;228
Universidades Públicas;Comunitat Valenciana;Resto de África;Ambos sexos;113
Universidades Públicas;Comunitat Valenciana;Resto de África;Mujeres;56
Universidades Públicas;Comunitat Valenciana;Resto de África;Hombres;57
Universidades Públicas;Comunitat Valenciana;Asia y Oceanía;Ambos sexos;353
Universidades Públicas;Comunitat Valenciana;Asia y Oceanía;Mujeres;199
Universidades Públicas;Comunitat Valenciana;Asia y Oceanía;Hombres;154
Universidades Públicas;Estado;Total;Ambos sexos;150.205
Universidades Públicas;Estado;Total;Mujeres;82.296
Universidades Públicas;Estado;Total;Hombres;67.909
Universidades Públicas;Estado;España;Ambos sexos;145.498
Universidades Públicas;Estado;España;Mujeres;78.981
Universidades Públicas;Estado;España;Hombres;66.517
Universidades Públicas;Estado;Unión Europea (28);Ambos sexos;2.180
Universidades Públicas;Estado;Unión Europea (28);Mujeres;1.608
Universidades Públicas;Estado;Unión Europea (28);Hombres;572
Universidades Públicas;Estado;Resto de Europa;Ambos sexos;390
Universidades Públicas;Estado;Resto de Europa;Mujeres;308
Universidades Públicas;Estado;Resto de Europa;Hombres;82
Universidades Públicas;Estado;EE.UU. y Canadá;Ambos sexos;43
Universidades Públicas;Estado;EE.UU. y Canadá;Mujeres;27
Universidades Públicas;Estado;EE.UU. y Canadá;Hombres;16
Universidades Públicas;Estado;América Latina y Caribe;Ambos sexos;1.624
Universidades Públicas;Estado;América Latina y Caribe;Mujeres;1.170
Universidades Públicas;Estado;América Latina y Caribe;Hombres;454
Universidades Públicas;Estado;Norte de África;Ambos sexos;179
Universidades Públicas;Estado;Norte de África;Mujeres;108
Universidades Públicas;Estado;Norte de África;Hombres;71
Universidades Públicas;Estado;Resto de África;Ambos sexos;221
Universidades Públicas;Estado;Resto de África;Mujeres;53
Universidades Públicas;Estado;Resto de África;Hombres;168
Universidades Públicas;Estado;Asia y Oceanía;Ambos sexos;70
Universidades Públicas;Estado;Asia y Oceanía;Mujeres;41
Universidades Públicas;Estado;Asia y Oceanía;Hombres;29
Universidades Públicas;Extremadura;Total;Ambos sexos;19.536
Universidades Públicas;Extremadura;Total;Mujeres;10.583
Universidades Públicas;Extremadura;Total;Hombres;8.953
Universidades Públicas;Extremadura;España;Ambos sexos;19.364
Universidades Públicas;Extremadura;España;Mujeres;10.474
Universidades Públicas;Extremadura;España;Hombres;8.890
Universidades Públicas;Extremadura;Unión Europea (28);Ambos sexos;90
Universidades Públicas;Extremadura;Unión Europea (28);Mujeres;63
Universidades Públicas;Extremadura;Unión Europea (28);Hombres;27
Universidades Públicas;Extremadura;Resto de Europa;Ambos sexos;11
Universidades Públicas;Extremadura;Resto de Europa;Mujeres;7
Universidades Públicas;Extremadura;Resto de Europa;Hombres;4
Universidades Públicas;Extremadura;EE.UU. y Canadá;Ambos sexos;2
Universidades Públicas;Extremadura;EE.UU. y Canadá;Mujeres;1
Universidades Públicas;Extremadura;EE.UU. y Canadá;Hombres;1
Universidades Públicas;Extremadura;América Latina y Caribe;Ambos sexos;40
Universidades Públicas;Extremadura;América Latina y Caribe;Mujeres;22
Universidades Públicas;Extremadura;América Latina y Caribe;Hombres;18
Universidades Públicas;Extremadura;Norte de África;Ambos sexos;18
Universidades Públicas;Extremadura;Norte de África;Mujeres;13
Universidades Públicas;Extremadura;Norte de África;Hombres;5
Universidades Públicas;Extremadura;Resto de África;Ambos sexos;8
Universidades Públicas;Extremadura;Resto de África;Mujeres;2
Universidades Públicas;Extremadura;Resto de África;Hombres;6
Universidades Públicas;Extremadura;Asia y Oceanía;Ambos sexos;3
Universidades Públicas;Extremadura;Asia y Oceanía;Mujeres;1
Universidades Públicas;Extremadura;Asia y Oceanía;Hombres;2
Universidades Públicas;Galicia;Total;Ambos sexos;55.322
Universidades Públicas;Galicia;Total;Mujeres;30.474
Universidades Públicas;Galicia;Total;Hombres;24.848
Universidades Públicas;Galicia;España;Ambos sexos;54.577
Universidades Públicas;Galicia;España;Mujeres;29.973
Universidades Públicas;Galicia;España;Hombres;24.604
Universidades Públicas;Galicia;Unión Europea (28);Ambos sexos;398
Universidades Públicas;Galicia;Unión Europea (28);Mujeres;283
Universidades Públicas;Galicia;Unión Europea (28);Hombres;115
Universidades Públicas;Galicia;Resto de Europa;Ambos sexos;32
Universidades Públicas;Galicia;Resto de Europa;Mujeres;22
Universidades Públicas;Galicia;Resto de Europa;Hombres;10
Universidades Públicas;Galicia;EE.UU. y Canadá;Ambos sexos;6
Universidades Públicas;Galicia;EE.UU. y Canadá;Mujeres;5
Universidades Públicas;Galicia;EE.UU. y Canadá;Hombres;1
Universidades Públicas;Galicia;América Latina y Caribe;Ambos sexos;226
Universidades Públicas;Galicia;América Latina y Caribe;Mujeres;143
Universidades Públicas;Galicia;América Latina y Caribe;Hombres;83
Universidades Públicas;Galicia;Norte de África;Ambos sexos;30
Universidades Públicas;Galicia;Norte de África;Mujeres;19
Universidades Públicas;Galicia;Norte de África;Hombres;11
Universidades Públicas;Galicia;Resto de África;Ambos sexos;16
Universidades Públicas;Galicia;Resto de África;Mujeres;11
Universidades Públicas;Galicia;Resto de África;Hombres;5
Universidades Públicas;Galicia;Asia y Oceanía;Ambos sexos;37
Universidades Públicas;Galicia;Asia y Oceanía;Mujeres;18
Universidades Públicas;Galicia;Asia y Oceanía;Hombres;19
Universidades Públicas;Madrid (Comunidad de);Total;Ambos sexos;185.278
Universidades Públicas;Madrid (Comunidad de);Total;Mujeres;98.334
Universidades Públicas;Madrid (Comunidad de);Total;Hombres;86.944
Universidades Públicas;Madrid (Comunidad de);España;Ambos sexos;176.299
Universidades Públicas;Madrid (Comunidad de);España;Mujeres;92.833
Universidades Públicas;Madrid (Comunidad de);España;Hombres;83.466
Universidades Públicas;Madrid (Comunidad de);Unión Europea (28);Ambos sexos;3.277
Universidades Públicas;Madrid (Comunidad de);Unión Europea (28);Mujeres;2.165
Universidades Públicas;Madrid (Comunidad de);Unión Europea (28);Hombres;1.112
Universidades Públicas;Madrid (Comunidad de);Resto de Europa;Ambos sexos;604
Universidades Públicas;Madrid (Comunidad de);Resto de Europa;Mujeres;409
Universidades Públicas;Madrid (Comunidad de);Resto de Europa;Hombres;195
Universidades Públicas;Madrid (Comunidad de);EE.UU. y Canadá;Ambos sexos;39
Universidades Públicas;Madrid (Comunidad de);EE.UU. y Canadá;Mujeres;20
Universidades Públicas;Madrid (Comunidad de);EE.UU. y Canadá;Hombres;19
Universidades Públicas;Madrid (Comunidad de);América Latina y Caribe;Ambos sexos;2.020
Universidades Públicas;Madrid (Comunidad de);América Latina y Caribe;Mujeres;1.134
Universidades Públicas;Madrid (Comunidad de);América Latina y Caribe;Hombres;886
Universidades Públicas;Madrid (Comunidad de);Norte de África;Ambos sexos;462
Universidades Públicas;Madrid (Comunidad de);Norte de África;Mujeres;251
Universidades Públicas;Madrid (Comunidad de);Norte de África;Hombres;211
Universidades Públicas;Madrid (Comunidad de);Resto de África;Ambos sexos;190
Universidades Públicas;Madrid (Comunidad de);Resto de África;Mujeres;111
Universidades Públicas;Madrid (Comunidad de);Resto de África;Hombres;79
Universidades Públicas;Madrid (Comunidad de);Asia y Oceanía;Ambos sexos;2.387
Universidades Públicas;Madrid (Comunidad de);Asia y Oceanía;Mujeres;1.411
Universidades Públicas;Madrid (Comunidad de);Asia y Oceanía;Hombres;976
Universidades Públicas;Murcia (Región de);Total;Ambos sexos;33.654
Universidades Públicas;Murcia (Región de);Total;Mujeres;18.880
Universidades Públicas;Murcia (Región de);Total;Hombres;14.774
Universidades Públicas;Murcia (Región de);España;Ambos sexos;32.562
Universidades Públicas;Murcia (Región de);España;Mujeres;18.224
Universidades Públicas;Murcia (Región de);España;Hombres;14.338
Universidades Públicas;Murcia (Región de);Unión Europea (28);Ambos sexos;299
Universidades Públicas;Murcia (Región de);Unión Europea (28);Mujeres;197
Universidades Públicas;Murcia (Región de);Unión Europea (28);Hombres;102
Universidades Públicas;Murcia (Región de);Resto de Europa;Ambos sexos;159
Universidades Públicas;Murcia (Región de);Resto de Europa;Mujeres;99
Universidades Públicas;Murcia (Región de);Resto de Europa;Hombres;60
Universidades Públicas;Murcia (Región de);EE.UU. y Canadá;Ambos sexos;4
Universidades Públicas;Murcia (Región de);EE.UU. y Canadá;Mujeres;3
Universidades Públicas;Murcia (Región de);EE.UU. y Canadá;Hombres;1
Universidades Públicas;Murcia (Región de);América Latina y Caribe;Ambos sexos;398
Universidades Públicas;Murcia (Región de);América Latina y Caribe;Mujeres;239
Universidades Públicas;Murcia (Región de);América Latina y Caribe;Hombres;159
Universidades Públicas;Murcia (Región de);Norte de África;Ambos sexos;181
Universidades Públicas;Murcia (Región de);Norte de África;Mujeres;99
Universidades Públicas;Murcia (Región de);Norte de África;Hombres;82
Universidades Públicas;Murcia (Región de);Resto de África;Ambos sexos;22
Universidades Públicas;Murcia (Región de);Resto de África;Mujeres;9
Universidades Públicas;Murcia (Región de);Resto de África;Hombres;13
Universidades Públicas;Murcia (Región de);Asia y Oceanía;Ambos sexos;29
Universidades Públicas;Murcia (Región de);Asia y Oceanía;Mujeres;10
Universidades Públicas;Murcia (Región de);Asia y Oceanía;Hombres;19
Universidades Públicas;Navarra (Comunidad Foral de);Total;Ambos sexos;7.065
Universidades Públicas;Navarra (Comunidad Foral de);Total;Mujeres;3.553
Universidades Públicas;Navarra (Comunidad Foral de);Total;Hombres;3.512
Universidades Públicas;Navarra (Comunidad Foral de);España;Ambos sexos;6.904
Universidades Públicas;Navarra (Comunidad Foral de);España;Mujeres;3.446
Universidades Públicas;Navarra (Comunidad Foral de);España;Hombres;3.458
Universidades Públicas;Navarra (Comunidad Foral de);Unión Europea (28);Ambos sexos;59
Universidades Públicas;Navarra (Comunidad Foral de);Unión Europea (28);Mujeres;45
Universidades Públicas;Navarra (Comunidad Foral de);Unión Europea (28);Hombres;14
Universidades Públicas;Navarra (Comunidad Foral de);Resto de Europa;Ambos sexos;31
Universidades Públicas;Navarra (Comunidad Foral de);Resto de Europa;Mujeres;20
Universidades Públicas;Navarra (Comunidad Foral de);Resto de Europa;Hombres;11
Universidades Públicas;Navarra (Comunidad Foral de);EE.UU. y Canadá;Ambos sexos;..
Universidades Públicas;Navarra (Comunidad Foral de);EE.UU. y Canadá;Mujeres;..
Universidades Públicas;Navarra (Comunidad Foral de);EE.UU. y Canadá;Hombres;..
Universidades Públicas;Navarra (Comunidad Foral de);América Latina y Caribe;Ambos sexos;47
Universidades Públicas;Navarra (Comunidad Foral de);América Latina y Caribe;Mujeres;31
Universidades Públicas;Navarra (Comunidad Foral de);América Latina y Caribe;Hombres;16
Universidades Públicas;Navarra (Comunidad Foral de);Norte de África;Ambos sexos;13
Universidades Públicas;Navarra (Comunidad Foral de);Norte de África;Mujeres;5
Universidades Públicas;Navarra (Comunidad Foral de);Norte de África;Hombres;8
Universidades Públicas;Navarra (Comunidad Foral de);Resto de África;Ambos sexos;7
Universidades Públicas;Navarra (Comunidad Foral de);Resto de África;Mujeres;4
Universidades Públicas;Navarra (Comunidad Foral de);Resto de África;Hombres;3
Universidades Públicas;Navarra (Comunidad Foral de);Asia y Oceanía;Ambos sexos;4
Universidades Públicas;Navarra (Comunidad Foral de);Asia y Oceanía;Mujeres;2
Universidades Públicas;Navarra (Comunidad Foral de);Asia y Oceanía;Hombres;2
Universidades Públicas;País Vasco;Total;Ambos sexos;39.221
Universidades Públicas;País Vasco;Total;Mujeres;20.588
Universidades Públicas;País Vasco;Total;Hombres;18.633
Universidades Públicas;País Vasco;España;Ambos sexos;38.434
Universidades Públicas;País Vasco;España;Mujeres;20.156
Universidades Públicas;País Vasco;España;Hombres;18.278
Universidades Públicas;País Vasco;Unión Europea (28);Ambos sexos;270
Universidades Públicas;País Vasco;Unión Europea (28);Mujeres;158
Universidades Públicas;País Vasco;Unión Europea (28);Hombres;112
Universidades Públicas;País Vasco;Resto de Europa;Ambos sexos;53
Universidades Públicas;País Vasco;Resto de Europa;Mujeres;31
Universidades Públicas;País Vasco;Resto de Europa;Hombres;22
Universidades Públicas;País Vasco;EE.UU. y Canadá;Ambos sexos;3
Universidades Públicas;País Vasco;EE.UU. y Canadá;Mujeres;2
Universidades Públicas;País Vasco;EE.UU. y Canadá;Hombres;1
Universidades Públicas;País Vasco;América Latina y Caribe;Ambos sexos;267
Universidades Públicas;País Vasco;América Latina y Caribe;Mujeres;159
Universidades Públicas;País Vasco;América Latina y Caribe;Hombres;108
Universidades Públicas;País Vasco;Norte de África;Ambos sexos;101
Universidades Públicas;País Vasco;Norte de África;Mujeres;42
Universidades Públicas;País Vasco;Norte de África;Hombres;59
Universidades Públicas;País Vasco;Resto de África;Ambos sexos;57
Universidades Públicas;País Vasco;Resto de África;Mujeres;22
Universidades Públicas;País Vasco;Resto de África;Hombres;35
Universidades Públicas;País Vasco;Asia y Oceanía;Ambos sexos;36
Universidades Públicas;País Vasco;Asia y Oceanía;Mujeres;18
Universidades Públicas;País Vasco;Asia y Oceanía;Hombres;18
Universidades Públicas;Rioja (la);Total;Ambos sexos;4.044
Universidades Públicas;Rioja (la);Total;Mujeres;2.261
Universidades Públicas;Rioja (la);Total;Hombres;1.783
Universidades Públicas;Rioja (la);España;Ambos sexos;3.901
Universidades Públicas;Rioja (la);España;Mujeres;2.169
Universidades Públicas;Rioja (la);España;Hombres;1.732
Universidades Públicas;Rioja (la);Unión Europea (28);Ambos sexos;53
Universidades Públicas;Rioja (la);Unión Europea (28);Mujeres;42
Universidades Públicas;Rioja (la);Unión Europea (28);Hombres;11
Universidades Públicas;Rioja (la);Resto de Europa;Ambos sexos;12
Universidades Públicas;Rioja (la);Resto de Europa;Mujeres;6
Universidades Públicas;Rioja (la);Resto de Europa;Hombres;6
Universidades Públicas;Rioja (la);EE.UU. y Canadá;Ambos sexos;..
Universidades Públicas;Rioja (la);EE.UU. y Canadá;Mujeres;..
Universidades Públicas;Rioja (la);EE.UU. y Canadá;Hombres;..
Universidades Públicas;Rioja (la);América Latina y Caribe;Ambos sexos;25
Universidades Públicas;Rioja (la);América Latina y Caribe;Mujeres;12
Universidades Públicas;Rioja (la);América Latina y Caribe;Hombres;13
Universidades Públicas;Rioja (la);Norte de África;Ambos sexos;20
Universidades Públicas;Rioja (la);Norte de África;Mujeres;16
Universidades Públicas;Rioja (la);Norte de África;Hombres;4
Universidades Públicas;Rioja (la);Resto de África;Ambos sexos;7
Universidades Públicas;Rioja (la);Resto de África;Mujeres;2
Universidades Públicas;Rioja (la);Resto de África;Hombres;5
Universidades Públicas;Rioja (la);Asia y Oceanía;Ambos sexos;26
Universidades Públicas;Rioja (la);Asia y Oceanía;Mujeres;14
Universidades Públicas;Rioja (la);Asia y Oceanía;Hombres;12
Univ. Públicas Presenciales;Total;Total;Ambos sexos;1.037.771
Univ. Públicas Presenciales;Total;Total;Mujeres;559.569
Univ. Públicas Presenciales;Total;Total;Hombres;478.202
Univ. Públicas Presenciales;Total;España;Ambos sexos;1.000.171
Univ. Públicas Presenciales;Total;España;Mujeres;536.922
Univ. Públicas Presenciales;Total;España;Hombres;463.249
Univ. Públicas Presenciales;Total;Unión Europea (28);Ambos sexos;14.732
Univ. Públicas Presenciales;Total;Unión Europea (28);Mujeres;9.372
Univ. Públicas Presenciales;Total;Unión Europea (28);Hombres;5.360
Univ. Públicas Presenciales;Total;Resto de Europa;Ambos sexos;3.663
Univ. Públicas Presenciales;Total;Resto de Europa;Mujeres;2.331
Univ. Públicas Presenciales;Total;Resto de Europa;Hombres;1.332
Univ. Públicas Presenciales;Total;EE.UU. y Canadá;Ambos sexos;243
Univ. Públicas Presenciales;Total;EE.UU. y Canadá;Mujeres;151
Univ. Públicas Presenciales;Total;EE.UU. y Canadá;Hombres;92
Univ. Públicas Presenciales;Total;América Latina y Caribe;Ambos sexos;9.216
Univ. Públicas Presenciales;Total;América Latina y Caribe;Mujeres;5.442
Univ. Públicas Presenciales;Total;América Latina y Caribe;Hombres;3.774
Univ. Públicas Presenciales;Total;Norte de África;Ambos sexos;3.974
Univ. Públicas Presenciales;Total;Norte de África;Mujeres;2.135
Univ. Públicas Presenciales;Total;Norte de África;Hombres;1.839
Univ. Públicas Presenciales;Total;Resto de África;Ambos sexos;1.001
Univ. Públicas Presenciales;Total;Resto de África;Mujeres;490
Univ. Públicas Presenciales;Total;Resto de África;Hombres;511
Univ. Públicas Presenciales;Total;Asia y Oceanía;Ambos sexos;4.771
Univ. Públicas Presenciales;Total;Asia y Oceanía;Mujeres;2.726
Univ. Públicas Presenciales;Total;Asia y Oceanía;Hombres;2.045
Univ. Públicas Presenciales;Andalucía;Total;Ambos sexos;223.419
Univ. Públicas Presenciales;Andalucía;Total;Mujeres;121.908
Univ. Públicas Presenciales;Andalucía;Total;Hombres;101.511
Univ. Públicas Presenciales;Andalucía;España;Ambos sexos;217.939
Univ. Públicas Presenciales;Andalucía;España;Mujeres;118.593
Univ. Públicas Presenciales;Andalucía;España;Hombres;99.346
Univ. Públicas Presenciales;Andalucía;Unión Europea (28);Ambos sexos;1.850
Univ. Públicas Presenciales;Andalucía;Unión Europea (28);Mujeres;1.224
Univ. Públicas Presenciales;Andalucía;Unión Europea (28);Hombres;626
Univ. Públicas Presenciales;Andalucía;Resto de Europa;Ambos sexos;449
Univ. Públicas Presenciales;Andalucía;Resto de Europa;Mujeres;306
Univ. Públicas Presenciales;Andalucía;Resto de Europa;Hombres;143
Univ. Públicas Presenciales;Andalucía;EE.UU. y Canadá;Ambos sexos;78
Univ. Públicas Presenciales;Andalucía;EE.UU. y Canadá;Mujeres;70
Univ. Públicas Presenciales;Andalucía;EE.UU. y Canadá;Hombres;8
Univ. Públicas Presenciales;Andalucía;América Latina y Caribe;Ambos sexos;790
Univ. Públicas Presenciales;Andalucía;América Latina y Caribe;Mujeres;468
Univ. Públicas Presenciales;Andalucía;América Latina y Caribe;Hombres;322
Univ. Públicas Presenciales;Andalucía;Norte de África;Ambos sexos;1.622
Univ. Públicas Presenciales;Andalucía;Norte de África;Mujeres;844
Univ. Públicas Presenciales;Andalucía;Norte de África;Hombres;778
Univ. Públicas Presenciales;Andalucía;Resto de África;Ambos sexos;137
Univ. Públicas Presenciales;Andalucía;Resto de África;Mujeres;54
Univ. Públicas Presenciales;Andalucía;Resto de África;Hombres;83
Univ. Públicas Presenciales;Andalucía;Asia y Oceanía;Ambos sexos;554
Univ. Públicas Presenciales;Andalucía;Asia y Oceanía;Mujeres;349
Univ. Públicas Presenciales;Andalucía;Asia y Oceanía;Hombres;205
Univ. Públicas Presenciales;Aragón;Total;Ambos sexos;28.813
Univ. Públicas Presenciales;Aragón;Total;Mujeres;15.226
Univ. Públicas Presenciales;Aragón;Total;Hombres;13.587
Univ. Públicas Presenciales;Aragón;España;Ambos sexos;28.042
Univ. Públicas Presenciales;Aragón;España;Mujeres;14.740
Univ. Públicas Presenciales;Aragón;España;Hombres;13.302
Univ. Públicas Presenciales;Aragón;Unión Europea (28);Ambos sexos;391
Univ. Públicas Presenciales;Aragón;Unión Europea (28);Mujeres;264
Univ. Públicas Presenciales;Aragón;Unión Europea (28);Hombres;127
Univ. Públicas Presenciales;Aragón;Resto de Europa;Ambos sexos;48
Univ. Públicas Presenciales;Aragón;Resto de Europa;Mujeres;35
Univ. Públicas Presenciales;Aragón;Resto de Europa;Hombres;13
Univ. Públicas Presenciales;Aragón;EE.UU. y Canadá;Ambos sexos;..
Univ. Públicas Presenciales;Aragón;EE.UU. y Canadá;Mujeres;..
Univ. Públicas Presenciales;Aragón;EE.UU. y Canadá;Hombres;..
Univ. Públicas Presenciales;Aragón;América Latina y Caribe;Ambos sexos;129
Univ. Públicas Presenciales;Aragón;América Latina y Caribe;Mujeres;75
Univ. Públicas Presenciales;Aragón;América Latina y Caribe;Hombres;54
Univ. Públicas Presenciales;Aragón;Norte de África;Ambos sexos;68
Univ. Públicas Presenciales;Aragón;Norte de África;Mujeres;45
Univ. Públicas Presenciales;Aragón;Norte de África;Hombres;23
Univ. Públicas Presenciales;Aragón;Resto de África;Ambos sexos;43
Univ. Públicas Presenciales;Aragón;Resto de África;Mujeres;24
Univ. Públicas Presenciales;Aragón;Resto de África;Hombres;19
Univ. Públicas Presenciales;Aragón;Asia y Oceanía;Ambos sexos;92
Univ. Públicas Presenciales;Aragón;Asia y Oceanía;Mujeres;43
Univ. Públicas Presenciales;Aragón;Asia y Oceanía;Hombres;49
Univ. Públicas Presenciales;Asturias (Principado de);Total;Ambos sexos;20.360
Univ. Públicas Presenciales;Asturias (Principado de);Total;Mujeres;10.922
Univ. Públicas Presenciales;Asturias (Principado de);Total;Hombres;9.438
Univ. Públicas Presenciales;Asturias (Principado de);España;Ambos sexos;20.179
Univ. Públicas Presenciales;Asturias (Principado de);España;Mujeres;10.809
Univ. Públicas Presenciales;Asturias (Principado de);España;Hombres;9.370
Univ. Públicas Presenciales;Asturias (Principado de);Unión Europea (28);Ambos sexos;69
Univ. Públicas Presenciales;Asturias (Principado de);Unión Europea (28);Mujeres;45
Univ. Públicas Presenciales;Asturias (Principado de);Unión Europea (28);Hombres;24
Univ. Públicas Presenciales;Asturias (Principado de);Resto de Europa;Ambos sexos;12
Univ. Públicas Presenciales;Asturias (Principado de);Resto de Europa;Mujeres;10
Univ. Públicas Presenciales;Asturias (Principado de);Resto de Europa;Hombres;2
Univ. Públicas Presenciales;Asturias (Principado de);EE.UU. y Canadá;Ambos sexos;2
Univ. Públicas Presenciales;Asturias (Principado de);EE.UU. y Canadá;Mujeres;1
Univ. Públicas Presenciales;Asturias (Principado de);EE.UU. y Canadá;Hombres;1
Univ. Públicas Presenciales;Asturias (Principado de);América Latina y Caribe;Ambos sexos;70
Univ. Públicas Presenciales;Asturias (Principado de);América Latina y Caribe;Mujeres;42
Univ. Públicas Presenciales;Asturias (Principado de);América Latina y Caribe;Hombres;28
Univ. Públicas Presenciales;Asturias (Principado de);Norte de África;Ambos sexos;6
Univ. Públicas Presenciales;Asturias (Principado de);Norte de África;Mujeres;2
Univ. Públicas Presenciales;Asturias (Principado de);Norte de África;Hombres;4
Univ. Públicas Presenciales;Asturias (Principado de);Resto de África;Ambos sexos;11
Univ. Públicas Presenciales;Asturias (Principado de);Resto de África;Mujeres;7
Univ. Públicas Presenciales;Asturias (Principado de);Resto de África;Hombres;4
Univ. Públicas Presenciales;Asturias (Principado de);Asia y Oceanía;Ambos sexos;11
Univ. Públicas Presenciales;Asturias (Principado de);Asia y Oceanía;Mujeres;6
Univ. Públicas Presenciales;Asturias (Principado de);Asia y Oceanía;Hombres;5
Univ. Públicas Presenciales;Balears (Illes);Total;Ambos sexos;12.199
