Nivel y Ciclo;Rama de la enseñanza;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Total Centros;Ambos Sexos;1.364.023
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Total Centros;Mujeres;739.088
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Total Centros;Hombres;624.935
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros propios;Ambos Sexos;1.300.133
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros propios;Mujeres;702.606
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros propios;Hombres;597.527
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros adscritos;Ambos Sexos;63.890
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros adscritos;Mujeres;36.482
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros adscritos;Hombres;27.408
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Total Centros;Ambos Sexos;1.187.976
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Total Centros;Mujeres;641.865
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Total Centros;Hombres;546.111
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros propios;Ambos Sexos;1.129.770
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros propios;Mujeres;608.538
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros propios;Hombres;521.232
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros adscritos;Ambos Sexos;58.206
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros adscritos;Mujeres;33.327
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros adscritos;Hombres;24.879
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Total Centros;Ambos Sexos;176.047
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Total Centros;Mujeres;97.223
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Total Centros;Hombres;78.824
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros propios;Ambos Sexos;170.363
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros propios;Mujeres;94.068
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros propios;Hombres;76.295
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros adscritos;Ambos Sexos;5.684
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros adscritos;Mujeres;3.155
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros adscritos;Hombres;2.529
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Ambos Sexos;633.668
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Mujeres;381.064
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Hombres;252.604
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Ambos Sexos;600.709
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Mujeres;360.825
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Hombres;239.884
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Ambos Sexos;32.959
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Mujeres;20.239
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Hombres;12.720
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Ambos Sexos;535.278
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Mujeres;323.737
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Hombres;211.541
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Ambos Sexos;504.411
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Mujeres;304.593
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Hombres;199.818
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Ambos Sexos;30.867
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Mujeres;19.144
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Hombres;11.723
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Ambos Sexos;98.390
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Mujeres;57.327
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Hombres;41.063
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Ambos Sexos;96.298
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Mujeres;56.232
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Hombres;40.066
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros adscritos;Ambos Sexos;2.092
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros adscritos;Mujeres;1.095
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros adscritos;Hombres;997
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Total Centros;Ambos Sexos;281.818
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Total Centros;Mujeres;72.254
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Total Centros;Hombres;209.564
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros propios;Ambos Sexos;272.830
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros propios;Mujeres;70.466
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros propios;Hombres;202.364
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Ambos Sexos;8.988
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Mujeres;1.788
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Hombres;7.200
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Ambos Sexos;260.991
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Mujeres;67.298
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Hombres;193.693
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Ambos Sexos;252.120
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Mujeres;65.529
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Hombres;186.591
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros adscritos;Ambos Sexos;8.871
