Nivel y Ciclo;Rama de la enseñanza;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Total Centros;Hombres;246.186
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros propios;Ambos Sexos;329.713
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros propios;Mujeres;89.691
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros propios;Hombres;240.022
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Ambos Sexos;7.747
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Mujeres;1.583
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Hombres;6.164
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Ambos Sexos;301.519
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Mujeres;80.840
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Hombres;220.679
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Ambos Sexos;293.823
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Mujeres;79.266
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Hombres;214.557
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros adscritos;Ambos Sexos;7.696
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros adscritos;Mujeres;1.574
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades públicas;Centros adscritos;Hombres;6.122
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Total Centros;Ambos Sexos;35.941
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Total Centros;Mujeres;10.434
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Total Centros;Hombres;25.507
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Centros propios;Ambos Sexos;35.890
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Centros propios;Mujeres;10.425
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Centros propios;Hombres;25.465
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Ingeniería y Arquitectura;Universidades privadas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Total Centros;Ambos Sexos;132.933
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Total Centros;Mujeres;82.155
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Total Centros;Hombres;50.778
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Centros propios;Ambos Sexos;130.859
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Centros propios;Mujeres;80.716
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Centros propios;Hombres;50.143
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Centros adscritos;Ambos Sexos;2.074
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Centros adscritos;Mujeres;1.439
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Total Universidades;Centros adscritos;Hombres;635
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades públicas;Total Centros;Ambos Sexos;125.618
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades públicas;Total Centros;Mujeres;77.307
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades públicas;Total Centros;Hombres;48.311
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades públicas;Centros propios;Ambos Sexos;124.316
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades públicas;Centros propios;Mujeres;76.428
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades públicas;Centros propios;Hombres;47.888
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades públicas;Centros adscritos;Ambos Sexos;1.302
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades públicas;Centros adscritos;Mujeres;879
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades públicas;Centros adscritos;Hombres;423
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Total Centros;Ambos Sexos;7.315
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Total Centros;Mujeres;4.848
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Total Centros;Hombres;2.467
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Centros propios;Ambos Sexos;6.543
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Centros propios;Mujeres;4.288
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Centros propios;Hombres;2.255
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Centros adscritos;Ambos Sexos;772
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Centros adscritos;Mujeres;560
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Centros adscritos;Hombres;212
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Total Centros;Ambos Sexos;174.274
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Total Centros;Mujeres;124.174
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Total Centros;Hombres;50.100
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Centros propios;Ambos Sexos;161.009
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Centros propios;Mujeres;114.300
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Centros propios;Hombres;46.709
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Centros adscritos;Ambos Sexos;13.265
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Centros adscritos;Mujeres;9.874
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Centros adscritos;Hombres;3.391
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Total Centros;Ambos Sexos;142.184
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Total Centros;Mujeres;103.505
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Total Centros;Hombres;38.679
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Centros propios;Ambos Sexos;129.421
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Centros propios;Mujeres;93.902
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Centros propios;Hombres;35.519
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Centros adscritos;Ambos Sexos;12.763
